epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.80371,0.82379,1.56098,0.98008,0.87215,0.91162,0.94009,0.76452,0.97284,1.02968,1.10111,0.00032381,0.00032381,0.0679429
2,4.04757,0.70641,0.68109,0.92837,0.93609,0.97785,0.99313,0.86568,0.67076,0.65368,0.91718,0.000644131,0.000644131,0.0349298
3,5.14097,0.6575,0.57941,0.9026,0.99562,0.99381,0.995,0.87637,0.60754,0.46067,0.88258,0.000951253,0.000951253,0.00190363
4,6.22869,0.62223,0.5172,0.896,0.98692,0.99,0.99176,0.88515,0.49245,0.41477,0.83814,0.0009406,0.0009406,0.0009406
5,7.31939,0.60807,0.47185,0.88424,0.99428,0.99,0.98825,0.89129,0.56154,0.37775,0.85499,0.0009208,0.0009208,0.0009208
6,8.40121,0.57219,0.4443,0.87987,0.99556,0.99,0.985,0.88881,0.47486,0.36069,0.83467,0.000901,0.000901,0.000901
7,9.51056,0.57368,0.43111,0.8805,0.99258,0.99,0.985,0.87657,0.4884,0.35357,0.83317,0.0008812,0.0008812,0.0008812
8,10.5977,0.5498,0.40944,0.8743,0.99547,0.98884,0.9876,0.88526,0.45467,0.34397,0.83093,0.0008614,0.0008614,0.0008614
9,11.6758,0.52485,0.39792,0.86668,0.99477,0.99,0.985,0.90271,0.46965,0.30647,0.82856,0.0008416,0.0008416,0.0008416
10,12.7749,0.52451,0.38835,0.86083,0.99484,0.99,0.985,0.91317,0.44141,0.30409,0.81856,0.0008218,0.0008218,0.0008218
11,13.854,0.5446,0.3865,0.87542,0.99676,0.99,0.99043,0.90118,0.50532,0.32488,0.84255,0.000802,0.000802,0.000802
12,14.9373,0.51725,0.38721,0.85832,0.99593,0.99,0.985,0.90601,0.45369,0.30665,0.8188,0.0007822,0.0007822,0.0007822
13,16.0088,0.50199,0.36441,0.85011,0.99512,0.99,0.985,0.91725,0.41932,0.29082,0.80799,0.0007624,0.0007624,0.0007624
14,17.114,0.50929,0.37123,0.85778,0.99519,0.99,0.99,0.90985,0.46297,0.31563,0.82398,0.0007426,0.0007426,0.0007426
15,18.2844,0.49821,0.36889,0.85144,0.9962,0.99,0.985,0.91088,0.45039,0.31867,0.81802,0.0007228,0.0007228,0.0007228
16,19.3912,0.50109,0.36888,0.85252,0.99553,0.99,0.985,0.90486,0.46911,0.31727,0.82654,0.000703,0.000703,0.000703
17,20.445,0.50862,0.36832,0.85341,0.99561,0.99,0.985,0.91794,0.47316,0.31795,0.83095,0.0006832,0.0006832,0.0006832
18,21.5255,0.4949,0.35552,0.84735,0.99581,0.99,0.985,0.91897,0.45757,0.29214,0.82447,0.0006634,0.0006634,0.0006634
