epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.64401,1.53188,4.56512,1.30592,0.70366,0.3031,0.38779,0.23349,1.40993,4.83675,1.23728,0.00016,0.00016,0.08416
2,2.24683,1.39838,2.7596,1.20349,0.21212,0.53006,0.34052,0.16792,1.50974,3.23117,1.26522,0.000323466,0.000323466,0.0673235
3,2.89835,1.36844,2.32449,1.22466,0.32595,0.60417,0.5647,0.36305,1.43687,1.72804,1.25198,0.0004802,0.0004802,0.0504802
4,3.46936,1.35611,2.06423,1.20721,0.43629,0.61944,0.55028,0.36615,1.22839,1.57236,1.14335,0.000630202,0.000630202,0.0336302
5,4.04303,1.24854,1.84876,1.19759,0.61617,0.5958,0.65719,0.45057,1.23468,1.5651,1.1107,0.000773472,0.000773472,0.0167735
6,4.59117,1.24793,1.71467,1.19019,0.50143,0.70972,0.63471,0.46316,1.12102,1.39787,1.03971,0.000901,0.000901,0.000901
7,5.15499,1.22102,1.69926,1.1762,0.37919,0.71933,0.65197,0.47687,1.13524,1.37925,1.04139,0.0008812,0.0008812,0.0008812
8,5.74647,1.15167,1.57278,1.12073,0.40811,0.83044,0.60169,0.43076,1.08509,1.30439,1.02704,0.0008614,0.0008614,0.0008614
9,6.29007,1.21894,1.60163,1.17516,0.50294,0.69659,0.68019,0.47924,1.08176,1.29965,1.04672,0.0008416,0.0008416,0.0008416
10,6.89758,1.14555,1.45908,1.11388,0.50072,0.70461,0.67641,0.52011,1.0377,1.26769,1.01796,0.0008218,0.0008218,0.0008218
11,7.4674,1.12473,1.40027,1.08347,0.5256,0.68807,0.64882,0.49298,1.00432,1.23328,1.00851,0.000802,0.000802,0.000802
12,8.04107,1.09594,1.428,1.10888,0.5454,0.80833,0.67466,0.51141,1.03732,1.2061,1.01537,0.0007822,0.0007822,0.0007822
13,8.59255,1.10031,1.39326,1.06647,0.56561,0.67078,0.70025,0.53551,1.0178,1.19,1.00894,0.0007624,0.0007624,0.0007624
14,9.1374,1.07724,1.32095,1.06907,0.59521,0.65972,0.71994,0.55609,1.07531,1.16082,1.02404,0.0007426,0.0007426,0.0007426
15,9.70095,1.07757,1.30707,1.06983,0.54275,0.83151,0.73083,0.56101,1.12923,1.15916,1.04965,0.0007228,0.0007228,0.0007228
16,10.2699,1.03075,1.27166,1.06198,0.59035,0.81387,0.73304,0.54946,1.08753,1.15922,1.02523,0.000703,0.000703,0.000703
17,10.8277,1.02215,1.27941,1.04097,0.51719,0.79986,0.73357,0.55325,1.1344,1.1693,1.04913,0.0006832,0.0006832,0.0006832
18,11.3908,0.99294,1.2069,1.02744,0.4786,0.95884,0.75162,0.5348,1.18426,1.15428,1.07839,0.0006634,0.0006634,0.0006634
19,11.9381,1.04003,1.18127,1.06142,0.50144,0.74653,0.73615,0.5144,1.15366,1.15277,1.05723,0.0006436,0.0006436,0.0006436
20,12.5003,1.02618,1.18674,1.03144,0.87328,0.45725,0.71213,0.52191,1.14824,1.14513,1.07669,0.0006238,0.0006238,0.0006238
21,13.0768,0.99979,1.15258,1.03676,0.47744,0.89274,0.73552,0.54447,1.04354,1.12008,1.0172,0.000604,0.000604,0.000604
22,13.653,0.98843,1.16442,1.01958,0.4707,0.82937,0.76192,0.57615,1.08978,1.09954,1.03042,0.0005842,0.0005842,0.0005842
23,14.2192,0.97875,1.12301,1.01384,0.59198,0.88616,0.76381,0.56217,1.12035,1.05936,1.03565,0.0005644,0.0005644,0.0005644
24,14.7629,1.00708,1.13822,1.04245,0.53621,0.85698,0.76817,0.55927,1.09467,1.03197,1.03771,0.0005446,0.0005446,0.0005446
25,15.3211,1.00556,1.11897,1.02362,0.62036,0.64428,0.78562,0.57366,1.0432,1.06401,1.02202,0.0005248,0.0005248,0.0005248
26,15.8566,0.95399,1.09163,1.00586,0.65503,0.6125,0.78612,0.59649,1.03151,1.0612,1.01485,0.000505,0.000505,0.000505
27,16.4171,0.91998,1.0877,0.9965,0.62634,0.72647,0.75954,0.5756,1.06227,1.03996,1.02277,0.0004852,0.0004852,0.0004852
28,16.9801,0.96029,1.11765,1.02333,0.60719,0.65766,0.75197,0.58005,1.02199,1.05047,1.01374,0.0004654,0.0004654,0.0004654
29,17.5316,0.95294,1.03409,1.02214,0.60215,0.66676,0.77078,0.57932,1.00452,1.06415,1.00312,0.0004456,0.0004456,0.0004456
30,18.0757,0.95151,1.02295,1.00722,0.68552,0.8375,0.82281,0.64159,0.9888,1.01199,0.99376,0.0004258,0.0004258,0.0004258
31,18.6277,0.99198,1.05959,1.05365,0.63237,0.92083,0.81538,0.63462,0.97129,1.00871,0.99074,0.000406,0.000406,0.000406
32,19.1724,0.94891,1.03203,1.02175,0.62405,0.87348,0.81792,0.63677,0.9689,0.99527,0.98597,0.0003862,0.0003862,0.0003862
