epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43088,0.83361,1.25617,0.98025,0.92849,0.87698,0.96987,0.84468,0.52311,0.75889,0.89039,0.000329114,0.000329114,0.0674177
2,6.86052,0.74339,0.76482,0.93446,0.98487,0.97226,0.98786,0.8604,0.51971,0.48929,0.88091,0.000649331,0.000649331,0.0344046
3,9.2362,0.70322,0.63547,0.92636,0.97492,0.97718,0.98717,0.85455,0.52265,0.45759,0.87617,0.000956348,0.000956348,0.00137829
4,11.571,0.67365,0.55282,0.90952,0.98973,0.97512,0.98602,0.8816,0.47851,0.42839,0.85998,0.0009406,0.0009406,0.0009406
5,13.9037,0.64988,0.50724,0.90372,0.99178,0.97135,0.98698,0.88778,0.47234,0.41162,0.85319,0.0009208,0.0009208,0.0009208
6,16.2138,0.64647,0.49723,0.90418,0.99645,0.98022,0.98677,0.88863,0.46169,0.39069,0.84882,0.000901,0.000901,0.000901
7,18.5353,0.62746,0.49246,0.89815,0.99234,0.9808,0.98751,0.88569,0.46217,0.3809,0.85696,0.0008812,0.0008812,0.0008812
8,20.8748,0.62699,0.47017,0.90073,0.99003,0.97819,0.98797,0.88941,0.47198,0.37104,0.85827,0.0008614,0.0008614,0.0008614
9,23.1874,0.61846,0.46427,0.88925,0.99177,0.98191,0.98818,0.89348,0.45405,0.3739,0.84912,0.0008416,0.0008416,0.0008416
10,25.5055,0.60573,0.44627,0.88471,0.99417,0.98191,0.98973,0.89366,0.46345,0.35954,0.856,0.0008218,0.0008218,0.0008218
11,27.8045,0.61484,0.43394,0.89031,0.99395,0.97921,0.98781,0.89809,0.44601,0.35416,0.85185,0.000802,0.000802,0.000802
12,30.1429,0.60201,0.43336,0.88855,0.99229,0.97983,0.98676,0.88381,0.4635,0.35379,0.85425,0.0007822,0.0007822,0.0007822
13,32.4207,0.58787,0.44706,0.8841,0.99458,0.98191,0.99009,0.89722,0.44553,0.3456,0.85628,0.0007624,0.0007624,0.0007624
14,34.7289,0.60354,0.4306,0.89175,0.99312,0.98071,0.9885,0.89971,0.44126,0.34011,0.85475,0.0007426,0.0007426,0.0007426
15,37.0331,0.5852,0.4092,0.88583,0.9973,0.9829,0.98702,0.8971,0.44155,0.3384,0.84847,0.0007228,0.0007228,0.0007228
16,39.3189,0.57551,0.41067,0.8793,0.99785,0.98191,0.98621,0.89919,0.42789,0.3205,0.84309,0.000703,0.000703,0.000703
17,41.5951,0.59167,0.40547,0.89112,0.994,0.98349,0.98612,0.90564,0.4282,0.32881,0.84745,0.0006832,0.0006832,0.0006832
18,43.9209,0.56302,0.39577,0.87888,0.99577,0.98379,0.98977,0.90208,0.4469,0.32501,0.8537,0.0006634,0.0006634,0.0006634
19,46.2863,0.59631,0.41549,0.89076,0.99304,0.98191,0.98991,0.90959,0.43191,0.31674,0.8441,0.0006436,0.0006436,0.0006436
20,48.567,0.58071,0.39928,0.88343,0.99041,0.98198,0.98946,0.90966,0.42274,0.31092,0.8409,0.0006238,0.0006238,0.0006238
21,50.8765,0.55921,0.38858,0.86992,0.99348,0.98191,0.98798,0.90358,0.41865,0.32433,0.83768,0.000604,0.000604,0.000604
22,53.1874,0.55791,0.3918,0.87952,0.99373,0.98191,0.98945,0.8992,0.44333,0.31225,0.84312,0.0005842,0.0005842,0.0005842
23,55.5179,0.5659,0.38985,0.88112,0.99349,0.98191,0.98783,0.90683,0.41822,0.31371,0.83921,0.0005644,0.0005644,0.0005644
24,57.8185,0.58013,0.3867,0.8813,0.99599,0.97637,0.98627,0.89743,0.4444,0.32558,0.84115,0.0005446,0.0005446,0.0005446
25,60.1306,0.56513,0.38374,0.87695,0.99655,0.98248,0.98647,0.89376,0.4289,0.31312,0.83947,0.0005248,0.0005248,0.0005248
26,62.4712,0.55996,0.38139,0.87407,0.98974,0.97515,0.98585,0.898,0.42382,0.32111,0.83988,0.000505,0.000505,0.000505
27,64.7668,0.55033,0.36592,0.87059,0.997,0.98207,0.98586,0.90258,0.42863,0.30393,0.84319,0.0004852,0.0004852,0.0004852
28,67.0881,0.54068,0.36028,0.86616,0.99378,0.97207,0.98546,0.90156,0.41283,0.32232,0.83799,0.0004654,0.0004654,0.0004654
29,69.3573,0.54294,0.36626,0.86512,0.99465,0.98191,0.98589,0.90808,0.41926,0.31606,0.83878,0.0004456,0.0004456,0.0004456
30,71.6398,0.53901,0.37232,0.87443,0.99577,0.98191,0.98614,0.90706,0.41728,0.32285,0.84119,0.0004258,0.0004258,0.0004258
