epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.58761,0.74988,0.34243,0.00631,1,0.89743,0.98269,0.8639,0.59187,0.27404,0.00657,0.000327381,0.000327381,0.0675893
2,11.0878,0.58914,0.27659,0.005,0.97445,0.94745,0.98213,0.88853,0.48786,0.27936,0.00574,0.000647632,0.000647632,0.0345762
3,13.4745,0.63575,0.30841,0.00553,0.98707,0.96273,0.98343,0.91015,0.41678,0.25399,0.00492,0.000954683,0.000954683,0.00154992
4,15.8218,0.63579,0.34632,0.00556,0.98673,0.92398,0.97592,0.89121,0.46231,0.28631,0.00544,0.0009406,0.0009406,0.0009406
5,18.1609,0.53574,0.32269,0.00465,0.98454,0.95031,0.98567,0.95424,0.32525,0.19786,0.00372,0.0009208,0.0009208,0.0009208
6,20.5243,0.51065,0.28648,0.00434,0.97427,0.94067,0.98719,0.96037,0.31224,0.22555,0.00368,0.000901,0.000901,0.000901
7,22.8837,0.50856,0.28391,0.0043,0.95069,0.97516,0.98373,0.95642,0.30735,0.25643,0.00351,0.0008812,0.0008812,0.0008812
8,25.196,0.47295,0.25262,0.00398,0.97302,0.95652,0.9857,0.96843,0.28368,0.22554,0.00335,0.0008614,0.0008614,0.0008614
9,27.5061,0.47581,0.27414,0.00406,0.98733,0.9681,0.98608,0.97278,0.23037,0.20656,0.00264,0.0008416,0.0008416,0.0008416
10,29.8658,0.47696,0.25926,0.00409,0.9812,0.97238,0.98558,0.97498,0.24006,0.18,0.00281,0.0008218,0.0008218,0.0008218
11,32.2414,0.47343,0.25651,0.00413,0.98489,0.95652,0.98465,0.94768,0.30737,0.22013,0.0035,0.000802,0.000802,0.000802
12,34.5766,0.44494,0.23019,0.00374,0.99354,0.9553,0.98687,0.96147,0.29594,0.18399,0.00354,0.0007822,0.0007822,0.0007822
13,37.0295,0.46047,0.23891,0.0038,0.99472,0.96894,0.99005,0.97036,0.30597,0.18147,0.00361,0.0007624,0.0007624,0.0007624
14,39.3736,0.44503,0.24317,0.00376,0.98081,0.95247,0.98627,0.97562,0.22994,0.1963,0.00267,0.0007426,0.0007426,0.0007426
15,41.7403,0.42737,0.22928,0.00369,1,0.97135,0.9869,0.97427,0.2422,0.16586,0.00272,0.0007228,0.0007228,0.0007228
16,44.1256,0.40871,0.22824,0.0035,0.97754,0.96894,0.99222,0.97941,0.26312,0.16534,0.00309,0.000703,0.000703,0.000703
17,46.5168,0.41989,0.20724,0.00364,0.98655,0.96273,0.9875,0.9781,0.23425,0.1766,0.00271,0.0006832,0.0006832,0.0006832
18,48.8913,0.42517,0.22608,0.00362,0.99296,0.97516,0.98809,0.97772,0.22167,0.17116,0.00261,0.0006634,0.0006634,0.0006634
19,51.2678,0.41377,0.21964,0.0035,0.98726,0.96894,0.98763,0.9759,0.25053,0.18251,0.00305,0.0006436,0.0006436,0.0006436
20,53.6343,0.41033,0.22415,0.00345,0.99837,0.96894,0.98804,0.98071,0.21273,0.14819,0.00245,0.0006238,0.0006238,0.0006238
21,55.9972,0.40758,0.22096,0.00334,0.99902,0.97516,0.98849,0.97772,0.20994,0.15804,0.00239,0.000604,0.000604,0.000604
22,58.3488,0.4066,0.21358,0.00348,0.99272,0.97516,0.9881,0.97816,0.20426,0.12018,0.00231,0.0005842,0.0005842,0.0005842
23,60.7715,0.39577,0.22174,0.00335,0.99364,0.9704,0.9897,0.9786,0.20415,0.12609,0.00236,0.0005644,0.0005644,0.0005644
24,63.1714,0.409,0.20685,0.00346,0.99909,0.97516,0.98863,0.97709,0.2163,0.12532,0.00249,0.0005446,0.0005446,0.0005446
25,65.645,0.42815,0.18904,0.00367,0.99933,0.97516,0.99026,0.97958,0.24516,0.16287,0.00285,0.0005248,0.0005248,0.0005248
26,67.9999,0.38809,0.19847,0.00322,0.99939,0.96894,0.98823,0.96895,0.29054,0.14573,0.00335,0.000505,0.000505,0.000505
27,70.3649,0.37004,0.18776,0.00316,0.9936,0.97516,0.99032,0.9799,0.20613,0.1406,0.00231,0.0004852,0.0004852,0.0004852
28,72.7078,0.36756,0.19197,0.00306,1,0.97403,0.99041,0.9784,0.21011,0.11837,0.00234,0.0004654,0.0004654,0.0004654
29,75.025,0.37391,0.20264,0.0031,0.98514,0.97516,0.99048,0.98026,0.22585,0.155,0.00265,0.0004456,0.0004456,0.0004456
30,77.3492,0.34526,0.18251,0.00292,0.99881,0.97516,0.98969,0.97734,0.20972,0.13633,0.00239,0.0004258,0.0004258,0.0004258
31,79.6821,0.3662,0.17422,0.00309,0.98742,0.97502,0.99057,0.98025,0.21683,0.12905,0.00253,0.000406,0.000406,0.000406
32,82.0734,0.36879,0.17131,0.00308,0.99282,0.97516,0.98877,0.97558,0.20684,0.12899,0.00243,0.0003862,0.0003862,0.0003862
33,84.3704,0.35702,0.18687,0.00299,1,0.97485,0.99107,0.97867,0.20085,0.1323,0.00237,0.0003664,0.0003664,0.0003664
34,86.6537,0.34961,0.19189,0.00292,0.99928,0.97516,0.98832,0.97713,0.21193,0.08272,0.00246,0.0003466,0.0003466,0.0003466
35,88.9294,0.34438,0.1823,0.00288,0.99388,0.97516,0.99235,0.97918,0.19908,0.116,0.0023,0.0003268,0.0003268,0.0003268
36,91.2776,0.35024,0.17783,0.00299,0.98686,0.97516,0.9899,0.97856,0.18544,0.1509,0.00212,0.000307,0.000307,0.000307
37,93.6128,0.35208,0.18017,0.00297,0.99881,0.97516,0.98951,0.97768,0.18507,0.11521,0.00214,0.0002872,0.0002872,0.0002872
38,95.9909,0.35243,0.18243,0.00303,0.99189,0.96894,0.99041,0.97734,0.20434,0.12608,0.00238,0.0002674,0.0002674,0.0002674
39,98.3093,0.32683,0.18177,0.00281,0.9937,0.98044,0.99383,0.98148,0.20181,0.1201,0.00238,0.0002476,0.0002476,0.0002476
40,100.632,0.34248,0.17438,0.00285,0.99319,0.97516,0.9937,0.98228,0.18747,0.1015,0.00209,0.0002278,0.0002278,0.0002278
41,103.498,0.25473,0.11788,0.00282,1,0.97478,0.9934,0.98388,0.2043,0.09653,0.00228,0.000208,0.000208,0.000208
42,105.788,0.24379,0.10801,0.00269,1,0.97382,0.99278,0.98335,0.18915,0.13707,0.00218,0.0001882,0.0001882,0.0001882
43,108.059,0.2405,0.12056,0.00263,0.99933,0.97516,0.99193,0.98297,0.22035,0.14151,0.00249,0.0001684,0.0001684,0.0001684
44,110.327,0.24481,0.10551,0.00271,1,0.97506,0.98956,0.9807,0.19241,0.1247,0.00214,0.0001486,0.0001486,0.0001486
45,112.608,0.23203,0.11051,0.00256,0.99365,0.9727,0.99208,0.98387,0.18417,0.14709,0.00208,0.0001288,0.0001288,0.0001288
46,114.854,0.2262,0.11019,0.00251,0.99968,0.97516,0.98925,0.98115,0.18738,0.12292,0.00209,0.000109,0.000109,0.000109
47,117.145,0.22727,0.11322,0.00255,0.9995,0.97516,0.99277,0.98376,0.1829,0.12988,0.00208,8.92e-05,8.92e-05,8.92e-05
48,119.399,0.22713,0.10135,0.00252,0.99984,0.96894,0.99232,0.98417,0.18683,0.14123,0.00213,6.94e-05,6.94e-05,6.94e-05
49,121.676,0.22329,0.10689,0.00248,1,0.97496,0.98909,0.9806,0.18245,0.15525,0.00206,4.96e-05,4.96e-05,4.96e-05
50,123.992,0.22274,0.10595,0.00246,0.999,0.97516,0.98927,0.98088,0.17617,0.14529,0.00199,2.98e-05,2.98e-05,2.98e-05
