epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.38665,1.17457,0.71473,0.01049,0.93916,0.94028,0.98467,0.81233,0.8224,0.44106,0.00953,0.000328571,0.000328571,0.0674714
2,12.4277,0.78456,0.55667,0.00675,0.94036,0.96046,0.98699,0.88758,0.49219,0.33236,0.00555,0.000648799,0.000648799,0.0344583
3,15.3872,0.7199,0.49795,0.0061,0.90342,0.96447,0.98337,0.90605,0.44522,0.30155,0.00496,0.000955827,0.000955827,0.00143202
4,18.2776,0.70781,0.46795,0.00597,0.93096,0.95826,0.98527,0.85112,0.64849,0.3317,0.00738,0.0009406,0.0009406,0.0009406
5,21.2122,0.67167,0.42002,0.00578,0.97024,0.95431,0.98877,0.8952,0.4965,0.32195,0.00575,0.0009208,0.0009208,0.0009208
6,24.1178,0.65307,0.40826,0.00547,0.99466,0.97462,0.99382,0.93068,0.39223,0.23799,0.00446,0.000901,0.000901,0.000901
7,27.2294,0.63872,0.37954,0.00534,0.97953,0.97145,0.9924,0.88282,0.58289,0.24469,0.0067,0.0008812,0.0008812,0.0008812
8,30.3801,0.60815,0.39183,0.00524,0.93058,0.9526,0.98581,0.93604,0.36429,0.26924,0.00424,0.0008614,0.0008614,0.0008614
9,33.3075,0.60166,0.38398,0.00516,0.95436,0.92386,0.98546,0.92932,0.38275,0.26781,0.00436,0.0008416,0.0008416,0.0008416
10,36.2864,0.6292,0.36449,0.00533,0.9452,0.96316,0.98777,0.93562,0.37117,0.23302,0.0042,0.0008218,0.0008218,0.0008218
11,39.3027,0.60503,0.36408,0.00508,0.90603,0.97887,0.98642,0.93359,0.37066,0.24083,0.00421,0.000802,0.000802,0.000802
12,42.3652,0.61537,0.356,0.00529,0.95506,0.971,0.98971,0.95217,0.31775,0.20942,0.00365,0.0007822,0.0007822,0.0007822
13,45.3516,0.61025,0.34265,0.00531,0.98469,0.97968,0.99336,0.94487,0.351,0.20882,0.00406,0.0007624,0.0007624,0.0007624
14,48.2457,0.54903,0.29845,0.00467,0.98436,0.9584,0.9922,0.90928,0.44774,0.21594,0.00511,0.0007426,0.0007426,0.0007426
15,51.1188,0.5683,0.29138,0.00475,0.98043,0.97462,0.99388,0.89053,0.53362,0.23317,0.00612,0.0007228,0.0007228,0.0007228
16,54.1028,0.60649,0.31052,0.00506,0.95023,0.96925,0.98973,0.93104,0.38846,0.213,0.00448,0.000703,0.000703,0.000703
17,56.9999,0.57885,0.30046,0.00482,0.98868,0.95939,0.99117,0.94305,0.3364,0.23152,0.00385,0.0006832,0.0006832,0.0006832
18,59.8443,0.51145,0.28142,0.00444,0.99486,0.98313,0.99441,0.93976,0.37311,0.18594,0.00436,0.0006634,0.0006634,0.0006634
19,62.7135,0.54763,0.28989,0.00468,0.97034,0.9797,0.99342,0.95069,0.3273,0.19979,0.00376,0.0006436,0.0006436,0.0006436
20,65.8649,0.54814,0.29559,0.00458,0.9765,0.96954,0.99295,0.94128,0.35306,0.20854,0.00408,0.0006238,0.0006238,0.0006238
21,68.7971,0.55215,0.29454,0.00463,0.97453,0.97094,0.9934,0.96238,0.30299,0.15355,0.00348,0.000604,0.000604,0.000604
22,71.7911,0.53758,0.27975,0.00444,0.97846,0.98477,0.99401,0.95072,0.35496,0.17971,0.00409,0.0005842,0.0005842,0.0005842
23,74.9536,0.51605,0.25341,0.0043,0.99687,0.96954,0.99398,0.96318,0.31059,0.15851,0.00347,0.0005644,0.0005644,0.0005644
24,77.9323,0.51795,0.2577,0.00438,0.9829,0.96447,0.99349,0.95822,0.34624,0.16553,0.00401,0.0005446,0.0005446,0.0005446
25,80.939,0.5297,0.25112,0.00456,0.99478,0.96826,0.99412,0.95755,0.30962,0.16299,0.00352,0.0005248,0.0005248,0.0005248
26,83.9601,0.53433,0.25688,0.0046,0.98953,0.9797,0.99339,0.95768,0.33572,0.16919,0.00378,0.000505,0.000505,0.000505
27,86.8106,0.52305,0.25073,0.0043,0.98977,0.98251,0.99401,0.95244,0.33745,0.15232,0.00386,0.0004852,0.0004852,0.0004852
28,89.8546,0.54249,0.24539,0.00461,0.98973,0.97798,0.99414,0.95268,0.34883,0.15397,0.00397,0.0004654,0.0004654,0.0004654
29,92.8231,0.55813,0.26773,0.0047,0.9849,0.99323,0.9946,0.95667,0.34387,0.14926,0.00388,0.0004456,0.0004456,0.0004456
30,95.753,0.50486,0.2454,0.00429,0.9891,0.96954,0.99398,0.93343,0.4021,0.17376,0.0045,0.0004258,0.0004258,0.0004258
31,98.7596,0.48558,0.24219,0.0042,0.98158,0.9797,0.99404,0.93932,0.37414,0.16815,0.00423,0.000406,0.000406,0.000406
32,101.759,0.47858,0.23573,0.00405,0.99739,0.9797,0.9944,0.94867,0.36303,0.15749,0.00429,0.0003862,0.0003862,0.0003862
33,104.734,0.49293,0.23481,0.00402,0.98472,0.9811,0.99396,0.95085,0.34405,0.16576,0.00404,0.0003664,0.0003664,0.0003664
34,107.697,0.47797,0.23467,0.00407,0.97486,0.98403,0.99383,0.94752,0.35303,0.1843,0.00408,0.0003466,0.0003466,0.0003466
35,110.775,0.47742,0.2281,0.00409,0.99488,0.98669,0.9948,0.9494,0.35248,0.16188,0.00403,0.0003268,0.0003268,0.0003268
36,113.725,0.44832,0.23284,0.00378,0.98984,0.98873,0.9946,0.95886,0.30301,0.14793,0.00349,0.000307,0.000307,0.000307
37,116.672,0.46606,0.22279,0.00383,0.98386,0.99492,0.9946,0.96296,0.31351,0.15304,0.00362,0.0002872,0.0002872,0.0002872
38,119.552,0.44291,0.22774,0.00373,0.9846,0.98985,0.99441,0.95978,0.30853,0.15595,0.00354,0.0002674,0.0002674,0.0002674
39,122.415,0.4513,0.22208,0.00386,0.98809,0.98985,0.99441,0.9455,0.35668,0.14792,0.00405,0.0002476,0.0002476,0.0002476
40,125.226,0.4419,0.22015,0.00377,0.96486,0.99492,0.994,0.95381,0.34408,0.17013,0.00391,0.0002278,0.0002278,0.0002278
41,128.551,0.40355,0.18057,0.00455,0.97858,0.9797,0.99345,0.96029,0.33346,0.17029,0.00381,0.000208,0.000208,0.000208
42,131.411,0.36062,0.16447,0.00416,0.98511,0.97462,0.99383,0.9399,0.36607,0.15975,0.0042,0.0001882,0.0001882,0.0001882
43,134.213,0.35796,0.16181,0.00395,0.99484,0.97924,0.9944,0.95559,0.33377,0.14649,0.00382,0.0001684,0.0001684,0.0001684
44,137.045,0.33279,0.1521,0.00372,0.9891,0.98477,0.99432,0.95848,0.29636,0.13785,0.0034,0.0001486,0.0001486,0.0001486
45,139.916,0.33453,0.15553,0.00377,0.99017,0.98985,0.99431,0.96014,0.30798,0.14468,0.00354,0.0001288,0.0001288,0.0001288
46,142.855,0.32831,0.14928,0.00365,0.98883,0.9797,0.99308,0.95619,0.31014,0.14871,0.00358,0.000109,0.000109,0.000109
47,145.855,0.32621,0.15322,0.00369,0.9915,0.97462,0.99397,0.96363,0.2965,0.14235,0.00342,8.92e-05,8.92e-05,8.92e-05
48,148.717,0.32321,0.14328,0.00363,0.98285,0.96954,0.9935,0.95856,0.31959,0.15148,0.00374,6.94e-05,6.94e-05,6.94e-05
49,151.564,0.32209,0.13748,0.00362,0.98455,0.97048,0.99356,0.95943,0.29541,0.14709,0.00343,4.96e-05,4.96e-05,4.96e-05
50,154.387,0.31464,0.13962,0.00351,0.97221,0.98477,0.99356,0.95979,0.29926,0.14839,0.00345,2.98e-05,2.98e-05,2.98e-05
