epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3771,0.83058,0.58207,0.94848,0.99808,0.99136,0.99452,0.8452,0.67007,0.38249,0.88787,0.000332912,0.000332912,0.0670417
2,65.5671,0.72194,0.40563,0.91701,0.99378,0.99728,0.99436,0.83784,0.65394,0.36421,0.88155,0.000653054,0.000653054,0.0340285
3,96.0518,0.69392,0.3773,0.9075,0.99868,0.99088,0.99425,0.84532,0.64524,0.34914,0.8717,0.000959996,0.000959996,0.00100208
4,126.317,0.67426,0.35945,0.90218,0.99652,0.9976,0.99418,0.85914,0.61562,0.30783,0.86658,0.0009406,0.0009406,0.0009406
5,156.546,0.65857,0.34771,0.8973,0.99754,0.99856,0.99412,0.87424,0.59953,0.33785,0.85838,0.0009208,0.0009208,0.0009208
6,186.838,0.64722,0.33799,0.89581,0.99521,0.99649,0.99409,0.86893,0.59254,0.30204,0.86163,0.000901,0.000901,0.000901
7,216.905,0.63475,0.3288,0.89059,0.99756,0.99808,0.9944,0.86498,0.60485,0.29729,0.86623,0.0008812,0.0008812,0.0008812
8,247.193,0.62616,0.32291,0.8875,0.99753,0.99904,0.99413,0.88039,0.59141,0.27937,0.85497,0.0008614,0.0008614,0.0008614
9,277.354,0.62328,0.32014,0.883,0.99704,0.99904,0.99441,0.87907,0.58384,0.28007,0.85176,0.0008416,0.0008416,0.0008416
10,307.938,0.61513,0.31302,0.88071,0.99808,0.99806,0.99414,0.86984,0.56913,0.27433,0.85112,0.0008218,0.0008218,0.0008218
11,338.281,0.61299,0.30832,0.88307,0.99853,0.99712,0.99444,0.87543,0.57601,0.26754,0.8526,0.000802,0.000802,0.000802
12,368.649,0.59814,0.30096,0.87631,0.99856,0.99848,0.9941,0.87801,0.5785,0.26734,0.85302,0.0007822,0.0007822,0.0007822
13,399.17,0.59656,0.29866,0.87739,0.99898,0.99952,0.99414,0.87724,0.55445,0.26261,0.84547,0.0007624,0.0007624,0.0007624
14,429.423,0.58917,0.29355,0.87326,0.99846,0.99952,0.99424,0.87398,0.56273,0.31512,0.8464,0.0007426,0.0007426,0.0007426
15,459.984,0.58891,0.29298,0.87237,0.99857,0.99952,0.99412,0.89281,0.54888,0.25435,0.83398,0.0007228,0.0007228,0.0007228
16,490.323,0.58407,0.28836,0.87037,0.99807,0.99952,0.99446,0.8929,0.54499,0.24554,0.8359,0.000703,0.000703,0.000703
17,520.528,0.58173,0.287,0.86848,0.99873,0.99952,0.99431,0.88725,0.5497,0.24751,0.83492,0.0006832,0.0006832,0.0006832
18,551.078,0.57272,0.28013,0.86633,0.9976,0.99922,0.99437,0.89282,0.54209,0.24623,0.84348,0.0006634,0.0006634,0.0006634
19,581.268,0.57481,0.27907,0.86954,0.99895,0.99952,0.99429,0.89389,0.54294,0.24022,0.84221,0.0006436,0.0006436,0.0006436
20,611.57,0.56848,0.27853,0.86685,0.99904,0.99847,0.99426,0.88703,0.53865,0.23377,0.84013,0.0006238,0.0006238,0.0006238
21,641.893,0.56537,0.27584,0.864,0.99808,0.99952,0.99431,0.89425,0.52824,0.23365,0.8354,0.000604,0.000604,0.000604
22,672.236,0.56124,0.27124,0.86379,0.99885,0.99952,0.99421,0.89133,0.52716,0.22908,0.83382,0.0005842,0.0005842,0.0005842
23,702.686,0.55961,0.26992,0.86321,0.99849,0.99952,0.99416,0.90006,0.52625,0.22503,0.83833,0.0005644,0.0005644,0.0005644
24,732.915,0.55401,0.26502,0.85981,0.99736,0.99952,0.99415,0.89954,0.52201,0.22487,0.83455,0.0005446,0.0005446,0.0005446
25,763.471,0.55056,0.26629,0.86054,0.99892,0.99952,0.99411,0.8935,0.52613,0.23239,0.83353,0.0005248,0.0005248,0.0005248
26,793.759,0.55107,0.26228,0.86017,0.99894,0.99952,0.99418,0.90402,0.52298,0.223,0.83326,0.000505,0.000505,0.000505
27,824.176,0.54431,0.26157,0.85924,0.99848,0.99952,0.99411,0.90322,0.51897,0.21972,0.8349,0.0004852,0.0004852,0.0004852
28,854.519,0.53935,0.25659,0.85508,0.99851,0.99952,0.9943,0.89897,0.51492,0.21849,0.82876,0.0004654,0.0004654,0.0004654
29,884.956,0.53831,0.25471,0.85631,0.99897,0.99952,0.99449,0.90547,0.51101,0.21866,0.82682,0.0004456,0.0004456,0.0004456
