epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.93924,0.80404,0.56229,0.98916,0.93186,0.63872,0.76265,0.24723,2.05671,2.11182,1.65336,0.000330769,0.000330769,0.0672538
2,11.9483,0.76859,0.51662,0.98149,0.9998,1,0.995,0.82617,0.72896,0.37461,0.9068,0.000650953,0.000650953,0.0342407
3,16.9003,0.73715,0.49028,0.97788,0.99924,1,0.995,0.80472,0.73056,0.47913,0.90318,0.000957937,0.000957937,0.00121435
4,21.9508,0.72965,0.48681,0.97624,0.99452,0.99638,0.99398,0.79822,0.72192,0.39314,0.92075,0.0009406,0.0009406,0.0009406
5,26.866,0.69546,0.46183,0.96676,0.98329,0.97006,0.99284,0.78584,0.75029,0.49216,0.93113,0.0009208,0.0009208,0.0009208
6,31.8122,0.69418,0.44667,0.97438,0.99693,0.99725,0.99332,0.81255,0.7411,0.33263,0.93978,0.000901,0.000901,0.000901
7,36.7313,0.68336,0.43349,0.96145,0.9966,0.99725,0.99396,0.82086,0.70431,0.33475,0.90893,0.0008812,0.0008812,0.0008812
8,41.6458,0.66601,0.42757,0.96157,0.99635,0.99725,0.99423,0.8216,0.68366,0.33932,0.92357,0.0008614,0.0008614,0.0008614
9,46.6906,0.66866,0.41151,0.95702,0.9968,0.99725,0.99374,0.83085,0.66804,0.32147,0.883,0.0008416,0.0008416,0.0008416
10,51.6506,0.66052,0.41006,0.96077,0.99953,1,0.995,0.84112,0.66935,0.30179,0.88836,0.0008218,0.0008218,0.0008218
11,56.6661,0.65796,0.4,0.95598,0.99698,0.99725,0.99299,0.80685,0.6829,0.37222,0.91109,0.000802,0.000802,0.000802
12,61.7751,0.6405,0.40518,0.95722,0.99688,0.99725,0.99352,0.83369,0.66516,0.32388,0.89896,0.0007822,0.0007822,0.0007822
13,66.8885,0.63194,0.38726,0.95742,0.99968,1,0.995,0.83834,0.64959,0.30397,0.88801,0.0007624,0.0007624,0.0007624
14,71.944,0.64628,0.39864,0.95575,0.99679,0.99725,0.99429,0.83855,0.66573,0.31803,0.89276,0.0007426,0.0007426,0.0007426
15,77.0024,0.63904,0.3966,0.95615,0.99306,0.99725,0.99399,0.83716,0.65228,0.33321,0.89107,0.0007228,0.0007228,0.0007228
16,81.9924,0.6321,0.38374,0.94927,0.99669,0.99725,0.99346,0.82853,0.68804,0.30797,0.90889,0.000703,0.000703,0.000703
17,86.9751,0.62524,0.38528,0.9521,0.99695,0.99725,0.99346,0.8068,0.7546,0.33242,0.9257,0.0006832,0.0006832,0.0006832
18,92.0432,0.61177,0.36203,0.94053,0.99973,1,0.995,0.83604,0.64891,0.30656,0.88609,0.0006634,0.0006634,0.0006634
19,97.1294,0.59631,0.35731,0.93562,0.99655,0.99725,0.99423,0.85436,0.60458,0.2932,0.87239,0.0006436,0.0006436,0.0006436
20,102.207,0.60703,0.3644,0.94242,0.99682,0.99725,0.99418,0.8335,0.64215,0.29879,0.8822,0.0006238,0.0006238,0.0006238
21,107.26,0.6056,0.36204,0.94357,0.99964,1,0.995,0.84866,0.61761,0.28785,0.86753,0.000604,0.000604,0.000604
22,112.404,0.59829,0.35472,0.94356,0.99949,1,0.995,0.84393,0.62603,0.31097,0.86836,0.0005842,0.0005842,0.0005842
23,117.456,0.59557,0.35874,0.94066,0.99546,0.99725,0.99451,0.8382,0.63783,0.29042,0.87496,0.0005644,0.0005644,0.0005644
24,122.592,0.5916,0.35406,0.94467,0.99971,1,0.995,0.8573,0.61149,0.27233,0.86145,0.0005446,0.0005446,0.0005446
25,127.61,0.59979,0.34115,0.94374,0.99973,1,0.995,0.85757,0.60874,0.27618,0.85899,0.0005248,0.0005248,0.0005248
26,132.594,0.59597,0.35151,0.93538,0.99914,1,0.995,0.8535,0.63159,0.27724,0.87427,0.000505,0.000505,0.000505
27,137.633,0.58209,0.34047,0.93943,0.997,0.99725,0.99338,0.85379,0.6356,0.26793,0.87213,0.0004852,0.0004852,0.0004852
28,142.616,0.57113,0.33873,0.9305,0.99959,1,0.995,0.85069,0.61567,0.26856,0.86904,0.0004654,0.0004654,0.0004654
29,147.599,0.56655,0.33022,0.92569,0.99593,0.99725,0.99385,0.85765,0.59961,0.26169,0.86301,0.0004456,0.0004456,0.0004456
30,152.565,0.57594,0.32694,0.93152,0.99322,0.99725,0.99492,0.85759,0.59997,0.28447,0.85275,0.0004258,0.0004258,0.0004258
31,157.461,0.58403,0.33627,0.94103,0.99671,0.99725,0.99363,0.8513,0.60581,0.26372,0.8658,0.000406,0.000406,0.000406
32,162.443,0.5673,0.32855,0.93564,0.99965,1,0.995,0.86077,0.58481,0.26031,0.85354,0.0003862,0.0003862,0.0003862
33,167.488,0.57267,0.31851,0.92926,0.99698,0.99725,0.99374,0.85569,0.62122,0.26244,0.87631,0.0003664,0.0003664,0.0003664
34,172.538,0.54184,0.30906,0.92084,0.9972,1,0.995,0.86236,0.57798,0.2517,0.8498,0.0003466,0.0003466,0.0003466
35,177.6,0.56171,0.31803,0.92464,0.99686,1,0.99495,0.87109,0.57991,0.25495,0.85159,0.0003268,0.0003268,0.0003268
36,182.612,0.55281,0.31245,0.92848,0.99971,1,0.995,0.86935,0.58815,0.2518,0.85323,0.000307,0.000307,0.000307
37,187.576,0.56011,0.31474,0.92038,0.99968,1,0.995,0.86785,0.5778,0.25871,0.84956,0.0002872,0.0002872,0.0002872
38,192.598,0.55389,0.31027,0.92647,0.9997,1,0.995,0.86628,0.56689,0.24565,0.84604,0.0002674,0.0002674,0.0002674
39,197.645,0.54769,0.30791,0.92324,0.99974,1,0.995,0.8748,0.56124,0.24445,0.84549,0.0002476,0.0002476,0.0002476
40,202.783,0.54301,0.30214,0.92157,0.99974,1,0.995,0.88222,0.57415,0.24784,0.85159,0.0002278,0.0002278,0.0002278
41,208.277,0.48315,0.24317,0.8906,0.9968,0.99725,0.99385,0.87378,0.5795,0.24949,0.85211,0.000208,0.000208,0.000208
42,213.195,0.47756,0.23881,0.89425,0.99922,1,0.995,0.87909,0.56126,0.25277,0.84659,0.0001882,0.0001882,0.0001882
43,218.092,0.47575,0.23901,0.88983,0.99956,1,0.995,0.88821,0.5526,0.24493,0.84421,0.0001684,0.0001684,0.0001684
44,223.007,0.47023,0.23239,0.88482,0.99967,1,0.995,0.8874,0.55125,0.2387,0.84437,0.0001486,0.0001486,0.0001486
45,228.23,0.48122,0.23497,0.8949,0.99952,1,0.995,0.88642,0.56663,0.24646,0.84634,0.0001288,0.0001288,0.0001288
46,233.781,0.46519,0.22659,0.88128,0.99961,1,0.995,0.88219,0.55887,0.23068,0.84614,0.000109,0.000109,0.000109
47,239.329,0.46349,0.22805,0.88261,0.99959,1,0.995,0.88724,0.54427,0.23733,0.84146,8.92e-05,8.92e-05,8.92e-05
48,244.948,0.45759,0.22357,0.88056,0.9995,1,0.995,0.88924,0.54959,0.23826,0.8418,6.94e-05,6.94e-05,6.94e-05
49,250.31,0.45057,0.22224,0.87529,0.99976,1,0.995,0.89102,0.54562,0.23476,0.84104,4.96e-05,4.96e-05,4.96e-05
50,255.251,0.45295,0.22079,0.88019,0.99971,1,0.995,0.88967,0.54686,0.22953,0.84124,2.98e-05,2.98e-05,2.98e-05
