epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.66162,1.13248,7.41008,0.01037,0.00311,1,0.12768,0.06525,1.05816,4.61903,0.01463,5e-05,5e-05,0.09505
2,5.06584,1.25201,4.58344,0.0125,0.00311,1,0.46332,0.29988,1.11143,4.04146,0.01277,0.000107822,0.000107822,0.0891078
3,5.45722,1.27666,2.56991,0.01181,0.00311,1,0.56054,0.36563,1.05968,3.29056,0.01276,0.000163268,0.000163268,0.0831633
4,5.95447,1.2436,1.85094,0.01058,0.00313,1,0.6751,0.44328,0.88008,3.40459,0.01156,0.000216338,0.000216338,0.0772163
5,6.31328,1.23883,1.57805,0.01075,0.23333,1,0.67572,0.46577,0.9005,3.47186,0.01202,0.000267032,0.000267032,0.071267
6,6.67349,1.08501,1.33483,0.00996,0.3,0.85714,0.58697,0.38205,1.12831,3.48914,0.01564,0.00031535,0.00031535,0.0653154
7,7.03695,1.22932,1.19096,0.01136,0.325,0.92857,0.68027,0.51043,0.848,3.4741,0.01043,0.000361292,0.000361292,0.0593613
8,7.39416,1.20724,1.05072,0.0115,0.31111,1,0.86429,0.67194,0.70051,3.40348,0.00831,0.000404858,0.000404858,0.0534049
9,7.75433,1.1719,1.16398,0.01172,0.25,1,0.95214,0.73693,0.89931,3.17328,0.01127,0.000446048,0.000446048,0.047446
10,8.12006,1.16931,0.97755,0.01151,0.23333,1,0.95854,0.72258,0.90541,2.99846,0.01142,0.000484862,0.000484862,0.0414849
11,8.47635,1.18799,0.98537,0.01026,0.22951,1,0.91642,0.74107,0.84479,2.77481,0.01013,0.0005213,0.0005213,0.0355213
12,8.84719,1.08565,0.93691,0.00984,0.21538,1,0.92953,0.74231,0.8455,2.48646,0.01036,0.000555362,0.000555362,0.0295554
13,9.19404,0.99083,0.77567,0.00938,0.22222,1,0.94806,0.72801,1.04471,2.1839,0.01336,0.000587048,0.000587048,0.023587
14,9.53661,1.07719,0.81058,0.01099,0.25926,1,0.94367,0.71313,0.95786,1.965,0.01165,0.000616358,0.000616358,0.0176164
15,9.86995,1.17698,0.77098,0.0097,0.6951,1,0.95648,0.76614,0.88307,1.83044,0.01064,0.000643292,0.000643292,0.0116433
16,10.2202,1.10359,0.78449,0.01042,1,0.62669,0.97633,0.78476,0.86507,1.57194,0.01022,0.00066785,0.00066785,0.00566785
17,10.554,1.12377,0.84964,0.01042,0.90247,0.6623,0.96265,0.7751,0.80603,1.44562,0.00969,0.0006832,0.0006832,0.0006832
18,10.9114,1.13222,0.74202,0.01027,1,0.7133,0.98265,0.78008,0.89995,1.09849,0.01111,0.0006634,0.0006634,0.0006634
19,11.2469,1.05463,0.65396,0.00983,1,0.79771,0.99033,0.76276,0.97987,0.98951,0.01203,0.0006436,0.0006436,0.0006436
20,11.5942,1.09336,0.73958,0.00983,0.77422,1,0.94876,0.75786,0.8474,0.87453,0.01007,0.0006238,0.0006238,0.0006238
21,11.9351,1.06399,0.79541,0.00908,0.85755,0.86016,0.95494,0.75902,0.84688,0.82607,0.01019,0.000604,0.000604,0.000604
22,12.4064,1.03279,0.80403,0.00853,1,0.70702,0.93465,0.75249,0.8734,0.77909,0.01062,0.0005842,0.0005842,0.0005842
23,12.7299,0.99974,0.78048,0.00955,0.81252,0.92873,0.95446,0.75194,0.96483,0.68909,0.01159,0.0005644,0.0005644,0.0005644
24,13.0746,1.08609,0.63182,0.00979,0.81533,1,0.94648,0.72699,0.96685,0.70126,0.01128,0.0005446,0.0005446,0.0005446
25,13.4119,1.01437,0.65137,0.00897,0.82179,1,0.97265,0.73573,0.95913,0.64734,0.01131,0.0005248,0.0005248,0.0005248
26,13.753,1.02439,0.66063,0.00936,1,0.83325,0.96725,0.75385,0.86878,0.54956,0.01024,0.000505,0.000505,0.000505
27,14.0927,0.91143,0.59758,0.00873,1,0.83011,0.97011,0.78041,0.82225,0.50397,0.0097,0.0004852,0.0004852,0.0004852
28,14.444,1.07159,0.62941,0.01038,0.90568,0.92857,0.96944,0.79327,0.7522,0.4274,0.009,0.0004654,0.0004654,0.0004654
29,14.7825,1.02048,0.67078,0.00962,0.91913,0.92857,0.96765,0.79519,0.76511,0.41271,0.00915,0.0004456,0.0004456,0.0004456
30,15.1392,1.06262,0.60732,0.00974,0.93171,0.97558,0.98567,0.77188,0.89088,0.42537,0.01059,0.0004258,0.0004258,0.0004258
31,15.4811,0.91241,0.54716,0.00824,0.90243,1,0.98567,0.76592,0.95061,0.41607,0.01139,0.000406,0.000406,0.000406
32,15.8286,0.99034,0.57098,0.00847,0.93251,0.98767,0.99033,0.73509,1.00289,0.43236,0.0122,0.0003862,0.0003862,0.0003862
33,16.1659,0.99533,0.61868,0.00912,0.91529,0.92857,0.98125,0.74915,0.97886,0.43319,0.01187,0.0003664,0.0003664,0.0003664
34,16.5115,0.95335,0.58102,0.00843,0.81565,1,0.96793,0.75521,0.87287,0.47576,0.01038,0.0003466,0.0003466,0.0003466
35,16.862,0.89888,0.57163,0.00861,0.9173,0.79273,0.96093,0.7525,0.80356,0.51445,0.00957,0.0003268,0.0003268,0.0003268
36,17.2089,0.96323,0.52819,0.00915,0.92798,0.9209,0.96944,0.80397,0.77376,0.46004,0.00922,0.000307,0.000307,0.000307
37,17.549,0.97484,0.55867,0.00841,0.88686,0.92857,0.98125,0.81321,0.76952,0.44966,0.00913,0.0002872,0.0002872,0.0002872
38,17.9179,0.95025,0.54001,0.00814,1,0.95307,0.995,0.802,0.79524,0.47452,0.00939,0.0002674,0.0002674,0.0002674
39,18.352,0.81435,0.51583,0.00768,0.98147,1,0.995,0.79702,0.82283,0.49135,0.00966,0.0002476,0.0002476,0.0002476
40,18.7071,0.9624,0.61249,0.00835,1,0.97462,0.995,0.79197,0.8786,0.49883,0.0103,0.0002278,0.0002278,0.0002278
41,19.5363,0.84742,0.51869,0.01017,1,0.97094,0.995,0.78755,0.89427,0.47925,0.01058,0.000208,0.000208,0.000208
42,19.9081,0.76841,0.40719,0.00871,0.99661,1,0.995,0.7749,0.91826,0.43547,0.0109,0.0001882,0.0001882,0.0001882
43,20.2508,0.82852,0.44171,0.00924,1,0.97743,0.995,0.77716,0.90497,0.42115,0.01075,0.0001684,0.0001684,0.0001684
44,20.5951,0.70935,0.40924,0.00825,1,0.99652,0.995,0.78591,0.85819,0.37484,0.01021,0.0001486,0.0001486,0.0001486
45,20.933,0.6695,0.36349,0.00808,0.99883,1,0.995,0.79377,0.82713,0.35229,0.00983,0.0001288,0.0001288,0.0001288
46,21.2832,0.75576,0.38687,0.00922,0.99468,1,0.995,0.80999,0.77975,0.30892,0.00926,0.000109,0.000109,0.000109
47,21.6176,0.84543,0.42773,0.01096,0.99406,1,0.995,0.83444,0.76686,0.29137,0.0091,8.92e-05,8.92e-05,8.92e-05
48,21.9612,0.7626,0.36844,0.00874,0.99333,1,0.995,0.82853,0.76006,0.2723,0.00904,6.94e-05,6.94e-05,6.94e-05
49,22.2868,0.77531,0.34382,0.00892,0.99302,1,0.995,0.82852,0.75775,0.26752,0.00904,4.96e-05,4.96e-05,4.96e-05
50,22.6338,0.79654,0.44039,0.00952,0.99283,1,0.995,0.82824,0.76061,0.26016,0.00907,2.98e-05,2.98e-05,2.98e-05
