epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.50029,3.59691,5.11121,3.21208,0.0019,0.57143,0.00245,0.00095,2.86463,4.89608,3.14138,5e-05,5e-05,0.09505
2,1.74991,2.56501,3.80859,2.49541,0.00333,1,0.016,0.00654,2.19972,3.29404,2.81303,0.000107822,0.000107822,0.0891078
3,1.99309,2.0117,3.16961,2.00202,0.02731,0.35714,0.03049,0.00931,2.29266,3.36744,2.39823,0.000163268,0.000163268,0.0831633
4,2.26457,1.62405,2.72087,1.66812,0.06657,0.28571,0.0492,0.01513,2.43937,3.56141,2.22407,0.000216338,0.000216338,0.0772163
5,2.48982,1.55576,2.27185,1.59428,0.14987,0.42857,0.16058,0.06372,1.85861,2.71957,1.63412,0.000267032,0.000267032,0.071267
6,2.7162,1.51184,1.97918,1.51041,0.58333,0.71429,0.60231,0.24438,1.72972,2.16249,1.59986,0.00031535,0.00031535,0.0653154
7,2.95176,1.47646,1.69812,1.41385,0.81891,0.5,0.59496,0.25255,1.85956,2.40833,1.61765,0.000361292,0.000361292,0.0593613
8,3.17687,1.34758,1.39283,1.27822,0.80958,0.60905,0.61985,0.31388,1.33041,2.52418,1.3245,0.000404858,0.000404858,0.0534049
9,3.40532,1.38506,1.37178,1.31367,0.90041,0.64606,0.77278,0.54331,1.24873,1.97218,1.24167,0.000446048,0.000446048,0.047446
10,3.63007,1.30273,1.13532,1.23161,1,0.85147,0.93259,0.61637,1.30986,0.99829,1.256,0.000484862,0.000484862,0.0414849
11,3.85122,1.27252,1.09643,1.18874,0.99448,0.85714,0.94017,0.57421,1.34182,0.93245,1.30881,0.0005213,0.0005213,0.0355213
12,4.05626,1.18998,1.06563,1.17398,1,0.90565,0.97167,0.67426,1.16568,0.78651,1.16946,0.000555362,0.000555362,0.0295554
13,4.27693,1.23288,1.02832,1.19323,0.98708,0.92857,0.98625,0.63289,1.22206,0.82075,1.17903,0.000587048,0.000587048,0.023587
14,4.49372,1.12895,0.98479,1.16518,0.99569,0.92857,0.97658,0.61547,1.22894,0.88856,1.23908,0.000616358,0.000616358,0.0176164
