epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.00907,0.8637,0.72379,1.01946,0.96295,0.89286,0.96141,0.75309,0.87394,0.64138,0.95974,0.0001,0.0001,0.0901
2,2.40271,0.92083,0.68948,1.0078,0.97326,0.89286,0.98418,0.82629,0.62216,0.55782,0.86957,0.000205842,0.000205842,0.0792058
3,2.80533,0.89035,0.67343,0.99598,0.89967,1,0.97379,0.7954,0.70876,0.58923,0.90398,0.000307328,0.000307328,0.0683073
4,3.17769,0.79802,0.56952,0.97888,0.9975,1,0.995,0.86135,0.62542,0.45239,0.87069,0.000404458,0.000404458,0.0574045
5,3.54887,0.80267,0.6063,0.98646,0.99615,1,0.995,0.86097,0.58928,0.444,0.85099,0.000497232,0.000497232,0.0464972
6,3.90164,0.83745,0.66043,1.01219,0.99507,1,0.995,0.877,0.55789,0.40479,0.84298,0.00058565,0.00058565,0.0355857
7,4.25023,0.82207,0.58194,0.99545,0.9967,1,0.995,0.86017,0.59229,0.4081,0.85188,0.000669712,0.000669712,0.0246697
8,4.61831,0.8003,0.62622,0.97453,0.99738,1,0.995,0.88015,0.55199,0.40116,0.83982,0.000749418,0.000749418,0.0137494
9,4.95303,0.78184,0.57442,0.96817,0.99734,1,0.995,0.89976,0.50699,0.37324,0.82568,0.000824768,0.000824768,0.00282477
10,5.31624,0.84659,0.61115,0.99046,0.99647,1,0.995,0.9027,0.49547,0.39167,0.82666,0.0008218,0.0008218,0.0008218
11,5.6734,0.74561,0.55896,0.97034,0.99636,1,0.995,0.90509,0.53087,0.37743,0.84561,0.000802,0.000802,0.000802
12,6.03972,0.72703,0.54571,0.96173,0.99699,1,0.995,0.86935,0.53276,0.37797,0.84044,0.0007822,0.0007822,0.0007822
13,6.40484,0.69676,0.49939,0.94065,0.99669,1,0.995,0.8704,0.52289,0.36075,0.84071,0.0007624,0.0007624,0.0007624
14,6.74925,0.70784,0.49172,0.92903,0.99746,1,0.995,0.87131,0.54286,0.38016,0.84271,0.0007426,0.0007426,0.0007426
15,7.22086,0.69804,0.50721,0.93655,0.99705,1,0.995,0.86166,0.58885,0.37193,0.84525,0.0007228,0.0007228,0.0007228
16,7.57593,0.71818,0.51422,0.96625,0.99738,1,0.995,0.84532,0.61854,0.40581,0.88006,0.000703,0.000703,0.000703
17,7.9224,0.657,0.49371,0.92793,0.99724,1,0.995,0.84828,0.62836,0.39966,0.87937,0.0006832,0.0006832,0.0006832
18,8.2886,0.70619,0.50677,0.94401,0.99709,1,0.995,0.87077,0.56423,0.36327,0.84909,0.0006634,0.0006634,0.0006634
19,8.6431,0.69909,0.47193,0.94318,0.9965,1,0.995,0.86701,0.53907,0.3669,0.84568,0.0006436,0.0006436,0.0006436
20,8.98806,0.71898,0.49049,0.92882,0.99703,1,0.995,0.87951,0.56403,0.36443,0.84201,0.0006238,0.0006238,0.0006238
21,9.32794,0.72587,0.52956,0.94825,0.99714,1,0.995,0.88488,0.54592,0.35057,0.8342,0.000604,0.000604,0.000604
22,9.6767,0.64691,0.48168,0.93218,0.99731,1,0.995,0.872,0.52651,0.34298,0.84229,0.0005842,0.0005842,0.0005842
23,10.0368,0.66097,0.4729,0.93676,0.99651,1,0.995,0.86548,0.54976,0.36417,0.86089,0.0005644,0.0005644,0.0005644
24,10.3867,0.67717,0.4836,0.96868,0.99726,1,0.995,0.85424,0.5699,0.36422,0.86471,0.0005446,0.0005446,0.0005446
25,10.7262,0.69073,0.48384,0.94074,0.99718,1,0.995,0.85977,0.55771,0.3492,0.85963,0.0005248,0.0005248,0.0005248
26,11.0633,0.62845,0.44692,0.92034,0.99707,1,0.995,0.87448,0.56233,0.34981,0.86832,0.000505,0.000505,0.000505
27,11.409,0.67822,0.48696,0.94409,0.99728,1,0.995,0.87031,0.55213,0.34008,0.8603,0.0004852,0.0004852,0.0004852
28,11.7482,0.65128,0.46095,0.92927,0.99769,1,0.995,0.88217,0.56399,0.33178,0.86675,0.0004654,0.0004654,0.0004654
29,12.0944,0.63081,0.41591,0.9477,0.99777,1,0.995,0.89347,0.54573,0.31774,0.86726,0.0004456,0.0004456,0.0004456
30,12.4506,0.61509,0.42801,0.92247,0.99794,1,0.995,0.88398,0.51069,0.30798,0.85296,0.0004258,0.0004258,0.0004258
31,12.8038,0.61905,0.43549,0.94135,0.99802,1,0.995,0.89365,0.49825,0.30834,0.84529,0.000406,0.000406,0.000406
32,13.1622,0.65138,0.43159,0.92284,0.998,1,0.995,0.88661,0.50442,0.29725,0.84041,0.0003862,0.0003862,0.0003862
