epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.68262,0.58387,0.41366,0.8943,0.99963,1,0.995,0.94931,0.29287,0.25073,0.78179,0.000328125,0.000328125,0.0675156
2,5.65233,0.5442,0.39629,0.88878,0.99964,1,0.995,0.93846,0.32206,0.27169,0.78375,0.000648361,0.000648361,0.0345025
3,7.52966,0.52158,0.3931,0.87477,0.99955,1,0.995,0.95497,0.30499,0.27045,0.77984,0.000955398,0.000955398,0.00147623
4,9.43913,0.52036,0.38031,0.87876,0.99968,1,0.995,0.95533,0.32476,0.25238,0.78781,0.0009406,0.0009406,0.0009406
5,11.2957,0.48656,0.36805,0.87396,0.99956,1,0.995,0.9677,0.305,0.24507,0.78101,0.0009208,0.0009208,0.0009208
6,13.1237,0.46805,0.35881,0.87257,0.99961,1,0.995,0.96361,0.28835,0.23594,0.78063,0.000901,0.000901,0.000901
7,15.1664,0.48019,0.359,0.8692,0.99964,1,0.995,0.96527,0.3018,0.23172,0.78375,0.0008812,0.0008812,0.0008812
8,17.0223,0.46319,0.33821,0.86593,0.99952,1,0.995,0.95025,0.3099,0.23062,0.78343,0.0008614,0.0008614,0.0008614
9,18.871,0.45918,0.33711,0.86286,0.99964,1,0.995,0.9783,0.25433,0.20169,0.77448,0.0008416,0.0008416,0.0008416
10,20.7698,0.4451,0.32299,0.86424,0.99951,1,0.995,0.97588,0.27111,0.2263,0.77868,0.0008218,0.0008218,0.0008218
11,22.6575,0.44387,0.3212,0.86376,0.99964,1,0.995,0.9779,0.26697,0.20491,0.77788,0.000802,0.000802,0.000802
12,24.5391,0.43722,0.31674,0.86321,0.99963,1,0.995,0.97656,0.27073,0.20288,0.77606,0.0007822,0.0007822,0.0007822
13,26.4118,0.41833,0.30969,0.85694,0.99964,1,0.995,0.97597,0.25253,0.1923,0.77696,0.0007624,0.0007624,0.0007624
14,28.2994,0.42013,0.30789,0.85434,0.99967,1,0.995,0.96512,0.26869,0.19656,0.77707,0.0007426,0.0007426,0.0007426
15,30.1793,0.41173,0.30378,0.8522,0.99967,1,0.995,0.97293,0.29283,0.19315,0.78663,0.0007228,0.0007228,0.0007228
16,32.0837,0.42192,0.30211,0.86205,0.99954,1,0.995,0.98833,0.24701,0.19554,0.77885,0.000703,0.000703,0.000703
17,33.9376,0.42302,0.30233,0.8601,0.99961,1,0.995,0.97861,0.272,0.21165,0.77773,0.0006832,0.0006832,0.0006832
18,35.847,0.40516,0.2927,0.84934,0.99963,1,0.995,0.98663,0.23421,0.17733,0.77265,0.0006634,0.0006634,0.0006634
19,37.6661,0.40815,0.29798,0.85615,0.99964,1,0.995,0.98467,0.24506,0.181,0.77314,0.0006436,0.0006436,0.0006436
20,39.5284,0.3949,0.28291,0.85372,0.99944,1,0.995,0.98589,0.23943,0.19363,0.77268,0.0006238,0.0006238,0.0006238
21,41.3717,0.40174,0.29078,0.85552,0.99956,1,0.995,0.97534,0.25011,0.18913,0.77322,0.000604,0.000604,0.000604
22,43.2065,0.39964,0.28976,0.85163,0.99967,1,0.995,0.98125,0.22352,0.16981,0.7714,0.0005842,0.0005842,0.0005842
23,45.0541,0.38037,0.27991,0.85046,0.99963,1,0.995,0.98259,0.25393,0.17337,0.77195,0.0005644,0.0005644,0.0005644
24,46.8819,0.38428,0.27796,0.84756,0.99958,1,0.995,0.98394,0.23437,0.15416,0.77051,0.0005446,0.0005446,0.0005446
25,48.7404,0.37511,0.26818,0.84816,0.99969,1,0.995,0.98578,0.23793,0.16265,0.77205,0.0005248,0.0005248,0.0005248
26,50.6236,0.37071,0.26302,0.8442,0.99966,1,0.995,0.98534,0.22974,0.1569,0.77022,0.000505,0.000505,0.000505
27,52.5091,0.37132,0.26598,0.8484,0.99966,1,0.995,0.98394,0.23569,0.1612,0.77198,0.0004852,0.0004852,0.0004852
28,54.3475,0.38176,0.26738,0.85708,0.99943,1,0.995,0.98299,0.24353,0.16057,0.77222,0.0004654,0.0004654,0.0004654
29,56.2529,0.3576,0.25386,0.84369,0.99967,1,0.995,0.98054,0.26038,0.16593,0.77597,0.0004456,0.0004456,0.0004456
30,58.0866,0.37201,0.26878,0.84371,0.99967,1,0.995,0.98491,0.23538,0.16746,0.77029,0.0004258,0.0004258,0.0004258
31,59.9363,0.36123,0.25836,0.84094,0.99968,1,0.995,0.98242,0.22349,0.16551,0.77173,0.000406,0.000406,0.000406
32,61.8079,0.35418,0.25065,0.84345,0.99967,1,0.995,0.9858,0.22415,0.14897,0.76901,0.0003862,0.0003862,0.0003862
