epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90484,2.91114,5.44291,2.28483,0.00657,0.45595,0.11246,0.03321,2.14298,3.75013,1.96684,0.00015,0.00015,0.08515
2,2.47367,1.91163,3.7163,1.68351,0.01403,0.95119,0.25103,0.10996,1.85511,3.1101,1.69911,0.000303862,0.000303862,0.0693039
3,3.02807,1.62583,2.77321,1.51801,0.25119,0.48553,0.36083,0.1777,1.95846,2.91913,1.74069,0.000451388,0.000451388,0.0534514
4,3.5926,1.59835,2.02447,1.47279,0.94438,0.40444,0.62273,0.3568,1.57883,1.79258,1.57102,0.000592578,0.000592578,0.0375926
5,4.13122,1.4669,1.70111,1.38915,0.75756,0.59565,0.73335,0.46375,1.35511,1.28612,1.42371,0.000727432,0.000727432,0.0217274
6,4.66322,1.42572,1.47194,1.33533,0.82,0.7864,0.8611,0.52648,1.32316,1.06613,1.40081,0.00085595,0.00085595,0.00585595
7,5.21061,1.35347,1.30581,1.31171,0.95902,0.84667,0.92895,0.61258,1.21688,0.96321,1.30375,0.0008812,0.0008812,0.0008812
8,5.73458,1.25016,1.14416,1.20569,0.93391,0.92559,0.96853,0.62285,1.24762,0.96941,1.3272,0.0008614,0.0008614,0.0008614
9,6.27104,1.29605,1.1259,1.23426,0.9468,0.94782,0.97573,0.65173,1.16243,0.8731,1.25368,0.0008416,0.0008416,0.0008416
10,6.79475,1.24159,1.04951,1.2238,0.92217,0.96775,0.98404,0.6942,1.1294,0.75084,1.23853,0.0008218,0.0008218,0.0008218
11,7.3278,1.24109,0.9342,1.21777,0.96691,0.95119,0.97735,0.67219,1.20458,0.71442,1.29815,0.000802,0.000802,0.000802
12,7.85144,1.22203,0.9505,1.20605,0.96579,0.94834,0.98413,0.69291,1.1019,0.70664,1.22559,0.0007822,0.0007822,0.0007822
13,8.36719,1.22541,0.89048,1.17477,0.98106,0.90668,0.98992,0.71765,1.05407,0.67371,1.18159,0.0007624,0.0007624,0.0007624
14,8.88722,1.15866,0.87687,1.17196,0.9609,0.92733,0.98909,0.70561,1.11571,0.68368,1.21498,0.0007426,0.0007426,0.0007426
15,9.41987,1.1338,0.83737,1.16116,0.97441,0.94327,0.98674,0.70603,1.08909,0.67934,1.19347,0.0007228,0.0007228,0.0007228
16,9.93858,1.15713,0.81649,1.15937,0.99768,0.97619,0.99056,0.71111,1.07882,0.62154,1.17482,0.000703,0.000703,0.000703
17,10.4651,1.07769,0.75503,1.11806,0.99748,0.99198,0.995,0.72493,1.05858,0.59055,1.16954,0.0006832,0.0006832,0.0006832
18,11.0032,1.03587,0.72408,1.12002,0.99428,0.97483,0.9918,0.74534,1.06414,0.58363,1.16977,0.0006634,0.0006634,0.0006634
19,11.5307,1.05079,0.75232,1.11051,0.99667,0.98211,0.995,0.73554,1.01171,0.56684,1.15079,0.0006436,0.0006436,0.0006436
20,12.0559,1.02188,0.68583,1.07707,0.98782,0.97619,0.99409,0.74617,1.03362,0.56277,1.16227,0.0006238,0.0006238,0.0006238
21,12.5741,1.00389,0.67689,1.09965,0.98864,0.97619,0.99409,0.73551,1.06149,0.55604,1.17042,0.000604,0.000604,0.000604
22,13.0986,1.02186,0.73303,1.09388,0.98554,0.99758,0.995,0.72823,1.03275,0.54889,1.16084,0.0005842,0.0005842,0.0005842
23,13.6305,1.03342,0.69803,1.09851,0.98328,0.99765,0.995,0.72959,1.02603,0.53194,1.15167,0.0005644,0.0005644,0.0005644
24,14.149,1.01132,0.68203,1.06882,0.99288,0.99724,0.995,0.72054,1.06828,0.56202,1.19555,0.0005446,0.0005446,0.0005446
25,14.6723,1.01204,0.67803,1.08475,0.98906,0.99744,0.995,0.72376,1.05631,0.51118,1.18414,0.0005248,0.0005248,0.0005248
26,15.1968,1.00778,0.63468,1.07508,0.9925,1,0.995,0.74371,1.00314,0.5083,1.15519,0.000505,0.000505,0.000505
27,15.7126,0.99446,0.63962,1.08256,0.99375,0.99806,0.995,0.73947,1.00714,0.51172,1.15704,0.0004852,0.0004852,0.0004852
28,16.2301,0.99602,0.65562,1.08273,0.99761,0.98403,0.995,0.71467,1.06679,0.52017,1.18037,0.0004654,0.0004654,0.0004654
29,16.7519,0.96469,0.63055,1.03921,0.99781,0.98274,0.995,0.7224,1.0229,0.49255,1.1531,0.0004456,0.0004456,0.0004456
30,17.2763,0.99196,0.64581,1.07317,0.98168,0.99786,0.995,0.7397,0.99206,0.48881,1.13005,0.0004258,0.0004258,0.0004258
31,17.8014,0.94496,0.60293,1.06093,0.98918,0.98862,0.995,0.73769,1.01087,0.49503,1.14686,0.000406,0.000406,0.000406
32,18.3253,0.97479,0.63452,1.05811,0.99766,0.97954,0.995,0.72211,1.04615,0.51339,1.17808,0.0003862,0.0003862,0.0003862
33,18.8514,0.9746,0.6179,1.0577,0.99768,0.97967,0.995,0.74028,1.00021,0.50193,1.15503,0.0003664,0.0003664,0.0003664
34,19.3749,0.93113,0.60323,1.04683,0.99699,0.98098,0.995,0.75749,0.98417,0.48845,1.13975,0.0003466,0.0003466,0.0003466
35,19.9051,0.90311,0.609,1.04827,0.99747,0.98095,0.995,0.73822,1.01604,0.49169,1.15732,0.0003268,0.0003268,0.0003268
36,20.4435,0.92863,0.62955,1.02484,0.98554,0.99727,0.995,0.74551,1.00949,0.49109,1.16233,0.000307,0.000307,0.000307
37,20.9561,0.95518,0.60731,1.06107,0.98815,0.98884,0.995,0.75639,1.00248,0.47894,1.15597,0.0002872,0.0002872,0.0002872
