epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.09592,1.31032,3.01657,1.11589,0.51827,0.61947,0.60848,0.46038,1.00811,1.79038,0.99766,0.00031,0.00031,0.06931
2,3.07884,1.19349,1.5061,1.08799,0.7956,0.83832,0.91025,0.71079,0.91861,0.95389,0.98701,0.000617526,0.000617526,0.0376175
3,3.99664,1.10084,1.1902,1.04301,0.89736,0.89681,0.93237,0.73486,0.87978,0.82565,0.96444,0.00091238,0.00091238,0.00591238
4,4.93407,1.06698,1.07661,1.03273,0.90982,0.91678,0.94267,0.73392,0.88422,0.78558,0.95403,0.0009406,0.0009406,0.0009406
5,5.84283,1.02547,1.01223,1.0014,0.91042,0.90699,0.94532,0.74017,0.84865,0.7619,0.94679,0.0009208,0.0009208,0.0009208
6,6.78657,0.97223,0.89466,0.98494,0.83897,0.9583,0.95583,0.77777,0.79049,0.70182,0.92616,0.000901,0.000901,0.000901
7,7.71312,1.00147,0.86418,1.00655,0.89834,0.94409,0.94635,0.76991,0.80378,0.64789,0.93164,0.0008812,0.0008812,0.0008812
8,8.62164,0.94604,0.82752,0.9741,0.78483,0.95052,0.94616,0.77417,0.82079,0.67254,0.93132,0.0008614,0.0008614,0.0008614
9,9.51957,0.9256,0.77628,0.97633,0.92765,0.89779,0.95451,0.78082,0.77823,0.60988,0.92141,0.0008416,0.0008416,0.0008416
10,10.4328,0.8815,0.73924,0.95018,0.95035,0.93372,0.97026,0.80491,0.76136,0.59255,0.90652,0.0008218,0.0008218,0.0008218
11,11.4919,0.86997,0.7077,0.96806,0.85088,0.9648,0.96826,0.79932,0.72496,0.56946,0.9019,0.000802,0.000802,0.000802
12,12.4005,0.90923,0.69033,0.95608,0.84024,0.96405,0.96311,0.79544,0.74595,0.61019,0.9128,0.0007822,0.0007822,0.0007822
13,13.3347,0.87239,0.69083,0.95225,0.97906,0.875,0.97407,0.80498,0.75974,0.5539,0.90837,0.0007624,0.0007624,0.0007624
14,14.2899,0.87746,0.69184,0.96455,0.93822,0.91667,0.97052,0.81152,0.7498,0.55861,0.91727,0.0007426,0.0007426,0.0007426
15,15.212,0.82492,0.62613,0.94218,0.9426,0.95361,0.97998,0.82041,0.74336,0.52118,0.90855,0.0007228,0.0007228,0.0007228
16,16.1352,0.86547,0.64013,0.95211,0.92956,0.95928,0.98421,0.8361,0.70775,0.48384,0.89049,0.000703,0.000703,0.000703
17,17.048,0.8504,0.62974,0.95263,0.92067,0.98618,0.98575,0.836,0.69768,0.47315,0.88582,0.0006832,0.0006832,0.0006832
18,17.9652,0.82935,0.62975,0.95824,0.9542,0.98075,0.98798,0.83014,0.69916,0.4605,0.88458,0.0006634,0.0006634,0.0006634
19,18.8714,0.86186,0.62108,0.96024,0.9888,0.93229,0.98825,0.83453,0.69822,0.46047,0.8863,0.0006436,0.0006436,0.0006436
20,19.812,0.80856,0.59855,0.9321,0.95007,0.9819,0.98572,0.83494,0.6656,0.44238,0.87871,0.0006238,0.0006238,0.0006238
21,20.7233,0.81317,0.58017,0.94252,0.95307,0.97306,0.9867,0.83297,0.68225,0.44296,0.87976,0.000604,0.000604,0.000604
22,21.6609,0.8067,0.58506,0.93474,0.90643,0.99217,0.9871,0.83411,0.68464,0.47217,0.88522,0.0005842,0.0005842,0.0005842
23,22.5643,0.81205,0.57822,0.93816,0.96365,0.96322,0.98928,0.83775,0.68793,0.4649,0.88902,0.0005644,0.0005644,0.0005644
24,23.4922,0.82255,0.56787,0.94002,0.9676,0.97612,0.99158,0.84547,0.69652,0.42981,0.88558,0.0005446,0.0005446,0.0005446
25,24.3921,0.80746,0.58252,0.94085,0.96424,0.97866,0.99026,0.84346,0.68989,0.43378,0.88361,0.0005248,0.0005248,0.0005248
26,25.3076,0.78332,0.55217,0.92988,0.9581,0.98142,0.99028,0.84632,0.68219,0.42044,0.873,0.000505,0.000505,0.000505
27,26.241,0.78791,0.55478,0.92009,0.9574,0.9692,0.99002,0.83564,0.68019,0.42419,0.87406,0.0004852,0.0004852,0.0004852
28,27.1507,0.78824,0.55668,0.93367,0.97022,0.97714,0.99144,0.85014,0.68232,0.42387,0.87618,0.0004654,0.0004654,0.0004654
29,28.101,0.79063,0.55694,0.92979,0.97619,0.96595,0.99238,0.84209,0.69824,0.4254,0.88079,0.0004456,0.0004456,0.0004456
30,29.006,0.78672,0.55814,0.92064,0.97247,0.96239,0.9909,0.83993,0.68701,0.43627,0.88428,0.0004258,0.0004258,0.0004258
31,29.9129,0.79135,0.53667,0.93427,0.96282,0.97164,0.99129,0.85274,0.69589,0.42565,0.88478,0.000406,0.000406,0.000406
32,30.8457,0.76992,0.51897,0.93117,0.9672,0.97971,0.99294,0.85063,0.66039,0.3998,0.87108,0.0003862,0.0003862,0.0003862
33,31.7498,0.76323,0.51068,0.91476,0.97363,0.97538,0.99356,0.84309,0.66982,0.4005,0.88006,0.0003664,0.0003664,0.0003664
34,32.6598,0.79973,0.53064,0.93688,0.97967,0.97569,0.9935,0.86032,0.64781,0.39584,0.86815,0.0003466,0.0003466,0.0003466
35,33.6029,0.79003,0.52339,0.92967,0.96568,0.98596,0.9933,0.85107,0.6686,0.39537,0.8753,0.0003268,0.0003268,0.0003268
36,34.4984,0.78083,0.5036,0.91507,0.98155,0.98336,0.99371,0.84728,0.67725,0.40178,0.87616,0.000307,0.000307,0.000307
37,35.3927,0.74502,0.48179,0.91012,0.95514,0.98438,0.9927,0.84375,0.67522,0.40413,0.87579,0.0002872,0.0002872,0.0002872
38,36.2938,0.76221,0.48316,0.9233,0.95843,0.98368,0.99291,0.85171,0.67723,0.3917,0.87774,0.0002674,0.0002674,0.0002674
39,37.1991,0.76165,0.48534,0.91241,0.98401,0.96904,0.9935,0.85279,0.66581,0.37855,0.87689,0.0002476,0.0002476,0.0002476
40,38.1074,0.75892,0.50237,0.9259,0.99036,0.98067,0.99436,0.84717,0.66981,0.38742,0.87367,0.0002278,0.0002278,0.0002278
41,39.5478,0.70665,0.44086,0.92829,0.98902,0.98043,0.99456,0.84763,0.67564,0.39497,0.87672,0.000208,0.000208,0.000208
42,40.4391,0.69986,0.44526,0.91263,0.97514,0.98791,0.99337,0.85076,0.68663,0.39312,0.88623,0.0001882,0.0001882,0.0001882
43,41.3353,0.69349,0.4355,0.91054,0.97824,0.98371,0.99279,0.84589,0.66918,0.38142,0.87804,0.0001684,0.0001684,0.0001684
44,42.2344,0.69732,0.42337,0.90372,0.98292,0.9781,0.99337,0.85631,0.65856,0.38561,0.87502,0.0001486,0.0001486,0.0001486
45,43.1454,0.69355,0.43851,0.91165,0.97682,0.98836,0.99297,0.85293,0.6527,0.37539,0.87398,0.0001288,0.0001288,0.0001288
46,44.0394,0.6987,0.44079,0.90412,0.97323,0.98806,0.99297,0.8525,0.64695,0.37581,0.86927,0.000109,0.000109,0.000109
47,44.9379,0.67851,0.41439,0.8913,0.97483,0.9802,0.99356,0.85481,0.64251,0.37593,0.86802,8.92e-05,8.92e-05,8.92e-05
48,45.8303,0.68947,0.4182,0.91078,0.98014,0.99082,0.99337,0.86025,0.63936,0.36403,0.86578,6.94e-05,6.94e-05,6.94e-05
49,46.7147,0.67144,0.39713,0.8953,0.97609,0.98744,0.99297,0.86146,0.64503,0.36204,0.86491,4.96e-05,4.96e-05,4.96e-05
50,47.6418,0.68494,0.41694,0.9075,0.9751,0.98733,0.99297,0.85584,0.65028,0.36547,0.867,2.98e-05,2.98e-05,2.98e-05
