epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.4401,0.81212,0.57698,0.93589,0.92863,0.96227,0.99155,0.81089,0.73359,0.4208,0.93466,0.000325397,0.000325397,0.0677857
2,3.69974,0.81029,0.55738,0.93562,0.95541,0.97656,0.9889,0.82095,0.68046,0.48376,0.91164,0.000645687,0.000645687,0.0347727
3,4.92822,0.78623,0.52865,0.9338,0.93297,0.98028,0.98508,0.83543,0.67765,0.45758,0.90982,0.000952778,0.000952778,0.00174643
4,6.16219,0.80778,0.54814,0.93027,0.87553,0.93966,0.9826,0.82057,0.68142,0.49285,0.90978,0.0009406,0.0009406,0.0009406
5,7.44295,0.80162,0.54822,0.92922,0.93909,0.92985,0.98599,0.81335,0.73515,0.44057,0.92158,0.0009208,0.0009208,0.0009208
6,8.69945,0.80459,0.53783,0.93962,0.95845,0.97588,0.98825,0.82576,0.68299,0.44002,0.87488,0.000901,0.000901,0.000901
7,9.92229,0.79753,0.51749,0.92669,0.9682,0.97802,0.99178,0.82887,0.67405,0.42525,0.88805,0.0008812,0.0008812,0.0008812
8,11.1727,0.78956,0.5148,0.92783,0.99052,0.96688,0.99359,0.82134,0.74054,0.42467,0.92685,0.0008614,0.0008614,0.0008614
9,12.3938,0.79274,0.52692,0.92951,0.96462,0.97094,0.99235,0.83562,0.66796,0.41961,0.90527,0.0008416,0.0008416,0.0008416
10,13.7674,0.78106,0.50792,0.92991,0.96403,0.94531,0.98239,0.8203,0.71295,0.46975,0.91879,0.0008218,0.0008218,0.0008218
11,14.9964,0.77648,0.50875,0.92445,0.92353,0.9824,0.98572,0.84004,0.65665,0.42883,0.89601,0.000802,0.000802,0.000802
12,16.2053,0.75456,0.49501,0.9252,0.95229,0.96615,0.98596,0.83089,0.68353,0.44694,0.91122,0.0007822,0.0007822,0.0007822
13,17.4351,0.77904,0.50287,0.91575,0.97762,0.98438,0.98964,0.82461,0.6854,0.42008,0.90085,0.0007624,0.0007624,0.0007624
14,18.6664,0.76572,0.4821,0.92079,0.94978,0.99219,0.99099,0.83244,0.6856,0.41296,0.90488,0.0007426,0.0007426,0.0007426
15,19.9519,0.7477,0.49096,0.92052,0.97441,0.98845,0.99279,0.84222,0.64629,0.40597,0.89271,0.0007228,0.0007228,0.0007228
16,21.1896,0.74335,0.46809,0.91399,0.90579,0.98481,0.99115,0.83862,0.65611,0.42474,0.89744,0.000703,0.000703,0.000703
17,22.3814,0.77586,0.49705,0.91147,0.89383,0.99852,0.99,0.83207,0.65953,0.42822,0.89039,0.0006832,0.0006832,0.0006832
18,23.5692,0.76405,0.48226,0.91467,0.94424,0.99417,0.995,0.85389,0.63127,0.39497,0.8838,0.0006634,0.0006634,0.0006634
19,24.7778,0.75137,0.48114,0.924,0.97623,0.99201,0.99359,0.83499,0.65598,0.36424,0.88554,0.0006436,0.0006436,0.0006436
20,25.9626,0.76219,0.47324,0.92078,0.9161,0.99141,0.99135,0.84095,0.64522,0.39491,0.87426,0.0006238,0.0006238,0.0006238
21,27.1523,0.7623,0.46083,0.91625,0.97338,0.97981,0.99399,0.83175,0.66617,0.38571,0.87932,0.000604,0.000604,0.000604
22,28.3361,0.76229,0.4676,0.91966,0.98386,0.96473,0.99396,0.84801,0.66473,0.39729,0.89792,0.0005842,0.0005842,0.0005842
23,29.5414,0.73945,0.45988,0.91263,0.91905,0.97728,0.99342,0.83969,0.66225,0.40643,0.90597,0.0005644,0.0005644,0.0005644
24,30.7408,0.75429,0.47449,0.91575,0.98431,0.98177,0.9931,0.84414,0.64561,0.37094,0.90313,0.0005446,0.0005446,0.0005446
25,31.9494,0.74206,0.473,0.92137,0.9783,0.97429,0.99325,0.84063,0.67184,0.38868,0.89117,0.0005248,0.0005248,0.0005248
26,33.1511,0.73445,0.46178,0.90814,0.98187,0.97926,0.99416,0.8349,0.6216,0.36533,0.8811,0.000505,0.000505,0.000505
27,34.3671,0.75221,0.45618,0.91529,0.97389,0.9532,0.99456,0.84985,0.59892,0.37271,0.86858,0.0004852,0.0004852,0.0004852
28,35.5454,0.71205,0.4491,0.89502,0.95846,0.96444,0.99436,0.84407,0.63895,0.39593,0.88026,0.0004654,0.0004654,0.0004654
29,36.7739,0.73662,0.43293,0.91276,0.9681,0.97121,0.99477,0.84754,0.62395,0.3835,0.87516,0.0004456,0.0004456,0.0004456
30,37.9692,0.74446,0.45509,0.92289,0.98294,0.97873,0.99437,0.84099,0.65541,0.38901,0.87376,0.0004258,0.0004258,0.0004258
31,39.157,0.72914,0.45236,0.91034,0.97412,0.97917,0.99397,0.84732,0.61802,0.3675,0.87912,0.000406,0.000406,0.000406
