epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0079,0.87424,0.40553,0.00372,0.94934,0.94798,0.98642,0.77472,0.88383,0.31748,0.005,0.00033,0.00033,0.06733
2,22.402,0.72669,0.33099,0.003,0.97418,0.96498,0.99237,0.82943,0.68824,0.25274,0.00392,0.000650199,0.000650199,0.0343169
3,27.6828,0.73374,0.33493,0.00309,0.96469,0.96109,0.99106,0.83665,0.64554,0.25756,0.00341,0.000957199,0.000957199,0.00129053
4,32.9498,0.68579,0.30671,0.00289,0.98805,0.96533,0.99357,0.83519,0.68409,0.23866,0.0037,0.0009406,0.0009406,0.0009406
5,38.1598,0.71812,0.32479,0.00296,0.98839,0.97276,0.99394,0.82668,0.72579,0.22384,0.00407,0.0009208,0.0009208,0.0009208
6,43.4398,0.69078,0.29352,0.0028,0.96856,0.95908,0.99138,0.83069,0.69682,0.24832,0.00395,0.000901,0.000901,0.000901
7,48.6708,0.70714,0.29742,0.00292,0.96753,0.98054,0.99368,0.82732,0.72851,0.23254,0.00385,0.0008812,0.0008812,0.0008812
8,53.908,0.69179,0.3313,0.00288,0.94397,0.98324,0.99047,0.84949,0.63373,0.24382,0.00359,0.0008614,0.0008614,0.0008614
9,59.1603,0.68212,0.30998,0.00276,0.96155,0.97312,0.99272,0.86553,0.59528,0.21622,0.00323,0.0008416,0.0008416,0.0008416
10,64.3665,0.68682,0.29432,0.00274,0.9665,0.96887,0.99204,0.83491,0.67907,0.23283,0.00376,0.0008218,0.0008218,0.0008218
11,69.6287,0.66345,0.28928,0.00271,0.98426,0.96887,0.99379,0.84839,0.64706,0.21037,0.00368,0.000802,0.000802,0.000802
12,74.8625,0.66381,0.29951,0.0027,0.96571,0.98619,0.99353,0.8387,0.6572,0.2421,0.00367,0.0007822,0.0007822,0.0007822
13,80.1677,0.67215,0.28135,0.00271,0.96901,0.97333,0.99313,0.84447,0.65655,0.22735,0.00378,0.0007624,0.0007624,0.0007624
14,85.4249,0.64088,0.28119,0.00261,0.97596,0.98833,0.99372,0.83259,0.71051,0.22598,0.00398,0.0007426,0.0007426,0.0007426
15,90.676,0.67288,0.29265,0.00282,0.97111,0.96887,0.99201,0.83872,0.66622,0.23653,0.00378,0.0007228,0.0007228,0.0007228
16,95.8992,0.67212,0.29554,0.00275,0.9804,0.97328,0.99357,0.83459,0.68659,0.22257,0.00378,0.000703,0.000703,0.000703
17,101.131,0.65349,0.26995,0.00268,0.98721,0.98833,0.99441,0.82282,0.74996,0.22772,0.004,0.0006832,0.0006832,0.0006832
18,106.288,0.65592,0.27332,0.00258,0.95846,0.98748,0.99194,0.84808,0.65247,0.24051,0.00364,0.0006634,0.0006634,0.0006634
19,111.563,0.63518,0.26334,0.00258,0.97587,0.98444,0.99294,0.85163,0.62881,0.21789,0.00336,0.0006436,0.0006436,0.0006436
20,116.758,0.62688,0.26982,0.00259,0.98833,0.98862,0.9938,0.80271,0.82234,0.24381,0.0043,0.0006238,0.0006238,0.0006238
21,122.096,0.61485,0.2623,0.00251,0.98822,0.97957,0.99427,0.86634,0.59856,0.19157,0.00323,0.000604,0.000604,0.000604
22,127.25,0.62156,0.25065,0.00248,0.98057,0.98166,0.99401,0.84154,0.67834,0.21787,0.00376,0.0005842,0.0005842,0.0005842
23,132.499,0.62126,0.24518,0.00245,0.97467,0.99222,0.9936,0.85526,0.61997,0.20141,0.00321,0.0005644,0.0005644,0.0005644
24,137.715,0.60035,0.24558,0.0024,0.98814,0.97289,0.99416,0.86986,0.60303,0.19456,0.0031,0.0005446,0.0005446,0.0005446
25,143.002,0.62189,0.24176,0.00252,0.98636,0.98444,0.99405,0.85909,0.62638,0.19922,0.00347,0.0005248,0.0005248,0.0005248
26,148.371,0.6137,0.24413,0.00239,0.9902,0.99222,0.99457,0.8552,0.638,0.18513,0.00343,0.000505,0.000505,0.000505
27,153.65,0.62361,0.24633,0.00254,0.97761,0.98054,0.99379,0.84912,0.64823,0.19765,0.00352,0.0004852,0.0004852,0.0004852
28,158.912,0.60936,0.25039,0.00242,0.9918,0.96887,0.99341,0.85893,0.60167,0.1942,0.00319,0.0004654,0.0004654,0.0004654
29,164.188,0.60179,0.24042,0.00234,0.97707,0.99484,0.99421,0.86403,0.60843,0.18079,0.00325,0.0004456,0.0004456,0.0004456
30,169.528,0.59019,0.23595,0.00229,0.98067,0.98719,0.99418,0.86964,0.57897,0.17636,0.00306,0.0004258,0.0004258,0.0004258
31,174.776,0.59035,0.22969,0.00232,0.9732,0.98892,0.99414,0.86592,0.60661,0.1907,0.00314,0.000406,0.000406,0.000406
32,180.091,0.59918,0.25306,0.00234,0.97799,0.98833,0.9943,0.86647,0.57799,0.18961,0.00308,0.0003862,0.0003862,0.0003862
33,185.312,0.59368,0.24689,0.00225,0.99216,0.98435,0.99449,0.85159,0.63067,0.20037,0.00328,0.0003664,0.0003664,0.0003664
34,190.64,0.59774,0.2444,0.00237,0.98846,0.97665,0.99446,0.87043,0.58157,0.1786,0.00306,0.0003466,0.0003466,0.0003466
35,195.95,0.5982,0.23246,0.00236,0.99215,0.98342,0.99453,0.84362,0.66942,0.19003,0.00362,0.0003268,0.0003268,0.0003268
36,201.245,0.58257,0.237,0.00229,0.98074,0.99068,0.99445,0.86051,0.61792,0.18383,0.00325,0.000307,0.000307,0.000307
37,206.489,0.59426,0.23198,0.0023,0.9878,0.98833,0.99429,0.87401,0.57247,0.16647,0.00303,0.0002872,0.0002872,0.0002872
38,211.744,0.56248,0.21418,0.0022,0.9953,0.98833,0.99469,0.86752,0.56981,0.16138,0.00304,0.0002674,0.0002674,0.0002674
39,217.1,0.56941,0.22213,0.0022,0.98837,0.99203,0.99473,0.87226,0.56599,0.16046,0.00295,0.0002476,0.0002476,0.0002476
40,222.358,0.56687,0.23022,0.00223,0.98831,0.98697,0.99426,0.8712,0.58561,0.17007,0.00319,0.0002278,0.0002278,0.0002278
41,228.242,0.5053,0.18326,0.00225,0.99218,0.9877,0.99435,0.84153,0.69153,0.20177,0.00364,0.000208,0.000208,0.000208
42,233.451,0.49899,0.18761,0.0023,0.98822,0.97906,0.99406,0.87084,0.59078,0.18207,0.00308,0.0001882,0.0001882,0.0001882
43,238.585,0.48064,0.17151,0.00223,0.99604,0.97921,0.99473,0.85208,0.64679,0.18092,0.0035,0.0001684,0.0001684,0.0001684
44,243.703,0.49409,0.17389,0.00223,0.97652,0.99222,0.99437,0.85845,0.63263,0.18264,0.0033,0.0001486,0.0001486,0.0001486
45,248.788,0.48389,0.17621,0.0022,0.98836,0.9911,0.99465,0.86083,0.62407,0.1794,0.00328,0.0001288,0.0001288,0.0001288
46,253.978,0.47873,0.17826,0.0022,0.96959,0.99251,0.99406,0.85843,0.6046,0.185,0.00317,0.000109,0.000109,0.000109
47,259.153,0.48152,0.17651,0.00219,0.98071,0.98898,0.99438,0.87278,0.59001,0.18054,0.00304,8.92e-05,8.92e-05,8.92e-05
48,264.314,0.47461,0.16836,0.00221,0.97433,0.99611,0.99426,0.87562,0.57149,0.17595,0.00301,6.94e-05,6.94e-05,6.94e-05
49,269.508,0.46285,0.17125,0.00212,0.98,0.99222,0.99433,0.87478,0.5752,0.17325,0.00299,4.96e-05,4.96e-05,4.96e-05
50,274.562,0.47031,0.16892,0.00216,0.98066,0.98657,0.99422,0.87486,0.56619,0.17421,0.00297,2.98e-05,2.98e-05,2.98e-05
