epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3018,0.73703,0.28672,0.00285,0.9749,0.978,0.98357,0.85002,0.57585,0.21924,0.00325,0.000330303,0.000330303,0.0673
2,20.346,0.67564,0.25804,0.00256,0.98194,0.97796,0.98398,0.83754,0.64325,0.24014,0.0034,0.000650496,0.000650496,0.0342869
3,25.4176,0.69122,0.26233,0.00268,0.98193,0.97732,0.98423,0.84313,0.63092,0.23068,0.00335,0.00095749,0.00095749,0.00126052
4,30.3972,0.64772,0.25702,0.00244,0.96791,0.98561,0.99354,0.81135,0.72677,0.27124,0.00397,0.0009406,0.0009406,0.0009406
5,35.3141,0.66848,0.2618,0.00261,0.98908,0.97775,0.98453,0.82324,0.67418,0.23951,0.0039,0.0009208,0.0009208,0.0009208
6,40.2762,0.6654,0.24696,0.00254,0.98183,0.97161,0.98427,0.81137,0.75366,0.25167,0.00424,0.000901,0.000901,0.000901
7,45.2996,0.63383,0.24327,0.00248,0.97763,0.96403,0.98347,0.8517,0.59361,0.23113,0.00324,0.0008812,0.0008812,0.0008812
8,50.4233,0.65254,0.24572,0.00248,0.96807,0.98155,0.98387,0.85548,0.57467,0.22957,0.003,0.0008614,0.0008614,0.0008614
9,55.4901,0.66635,0.26625,0.0025,0.98193,0.97715,0.98431,0.84857,0.61457,0.23187,0.00324,0.0008416,0.0008416,0.0008416
10,60.9753,0.64981,0.24559,0.00249,0.97816,0.96657,0.98317,0.76299,0.88196,0.26628,0.00472,0.0008218,0.0008218,0.0008218
11,66.3518,0.63192,0.25209,0.00254,0.97844,0.97943,0.98335,0.83239,0.63068,0.23247,0.00356,0.000802,0.000802,0.000802
12,71.4703,0.64493,0.2422,0.00248,0.96742,0.97122,0.98288,0.83081,0.64665,0.25518,0.00366,0.0007822,0.0007822,0.0007822
13,76.671,0.6537,0.25455,0.00259,0.97093,0.96131,0.98298,0.82561,0.67837,0.27075,0.00358,0.0007624,0.0007624,0.0007624
14,81.9271,0.62602,0.22877,0.00244,0.96797,0.97852,0.98395,0.84859,0.57928,0.23887,0.00315,0.0007426,0.0007426,0.0007426
15,87.0549,0.61814,0.22498,0.00241,0.98907,0.97654,0.98427,0.86561,0.54179,0.2317,0.00289,0.0007228,0.0007228,0.0007228
16,92.126,0.61625,0.23488,0.00238,0.9818,0.97033,0.98439,0.85173,0.5871,0.23085,0.00313,0.000703,0.000703,0.000703
17,97.3831,0.62686,0.23742,0.00234,0.96488,0.97122,0.98334,0.7965,0.75491,0.27687,0.00467,0.0006832,0.0006832,0.0006832
18,102.658,0.6166,0.21915,0.00238,0.99058,0.97842,0.98471,0.85259,0.58316,0.21284,0.00302,0.0006634,0.0006634,0.0006634
19,107.957,0.62122,0.23227,0.00236,0.97483,0.98921,0.98438,0.81858,0.71487,0.23453,0.00376,0.0006436,0.0006436,0.0006436
20,113.24,0.60624,0.22369,0.00234,0.9819,0.97553,0.98438,0.85041,0.58968,0.22832,0.00322,0.0006238,0.0006238,0.0006238
21,118.511,0.62018,0.23256,0.0023,0.97604,0.96043,0.98301,0.85754,0.56687,0.22883,0.00308,0.000604,0.000604,0.000604
22,123.671,0.60452,0.21518,0.00226,0.992,0.94245,0.98313,0.84873,0.57378,0.24755,0.00306,0.0005842,0.0005842,0.0005842
23,128.799,0.60559,0.21464,0.00222,0.97135,0.9758,0.99334,0.83159,0.67796,0.23728,0.00344,0.0005644,0.0005644,0.0005644
24,133.814,0.60056,0.22252,0.00224,0.99267,0.97442,0.98453,0.84936,0.59248,0.21378,0.00338,0.0005446,0.0005446,0.0005446
25,138.849,0.59223,0.2156,0.00221,0.98536,0.9684,0.98431,0.87239,0.53221,0.20055,0.00277,0.0005248,0.0005248,0.0005248
26,144.05,0.59905,0.21958,0.00227,0.98191,0.97619,0.98434,0.84074,0.6176,0.21337,0.00323,0.000505,0.000505,0.000505
27,149.203,0.60675,0.22034,0.00227,0.9763,0.98201,0.98442,0.85905,0.56718,0.20824,0.00305,0.0004852,0.0004852,0.0004852
28,154.369,0.58472,0.22124,0.00225,0.98141,0.97482,0.98395,0.85644,0.57183,0.22161,0.00303,0.0004654,0.0004654,0.0004654
29,159.484,0.58269,0.21683,0.00224,0.97498,0.98106,0.98438,0.87215,0.51135,0.22631,0.00273,0.0004456,0.0004456,0.0004456
30,164.61,0.59758,0.2286,0.00224,0.99505,0.97482,0.99397,0.86123,0.578,0.20818,0.00297,0.0004258,0.0004258,0.0004258
31,169.652,0.58475,0.21432,0.00224,0.98196,0.97878,0.99425,0.85093,0.61023,0.2134,0.00313,0.000406,0.000406,0.000406
32,174.699,0.5964,0.23351,0.00232,0.97929,0.97122,0.98409,0.87403,0.50891,0.21961,0.00271,0.0003862,0.0003862,0.0003862
33,179.859,0.57968,0.21599,0.00213,0.97805,0.97842,0.9921,0.87145,0.53668,0.20252,0.00289,0.0003664,0.0003664,0.0003664
34,184.821,0.57953,0.22691,0.0022,0.98759,0.97122,0.99187,0.87653,0.51392,0.1974,0.00273,0.0003466,0.0003466,0.0003466
35,189.903,0.56952,0.21569,0.00209,0.98338,0.97482,0.98441,0.87014,0.53991,0.20032,0.00282,0.0003268,0.0003268,0.0003268
36,194.983,0.56544,0.21197,0.00214,0.98537,0.96898,0.98435,0.8716,0.53621,0.20225,0.0028,0.000307,0.000307,0.000307
37,200.161,0.55269,0.205,0.00212,0.97642,0.98201,0.98442,0.84805,0.61361,0.22382,0.00323,0.0002872,0.0002872,0.0002872
38,205.206,0.56451,0.20559,0.00206,0.97514,0.98761,0.98453,0.87358,0.53413,0.20305,0.00285,0.0002674,0.0002674,0.0002674
39,210.273,0.54455,0.1962,0.00214,0.97388,0.98201,0.98423,0.86188,0.55658,0.21789,0.00295,0.0002476,0.0002476,0.0002476
40,215.281,0.56099,0.19855,0.00213,0.98201,0.98196,0.98445,0.87067,0.51982,0.20325,0.00275,0.0002278,0.0002278,0.0002278
41,221.159,0.48001,0.1585,0.0021,0.98201,0.98179,0.99271,0.8696,0.55113,0.21533,0.00292,0.000208,0.000208,0.000208
42,226.03,0.48953,0.16385,0.00219,0.97599,0.97842,0.98442,0.85773,0.57293,0.21099,0.00307,0.0001882,0.0001882,0.0001882
43,230.906,0.48065,0.163,0.0021,0.98475,0.97842,0.98453,0.86052,0.56611,0.21427,0.00298,0.0001684,0.0001684,0.0001684
44,235.856,0.47874,0.15914,0.00207,0.98203,0.98561,0.9846,0.87315,0.52716,0.20438,0.00276,0.0001486,0.0001486,0.0001486
45,240.764,0.47078,0.1592,0.00209,0.9816,0.98921,0.98449,0.86803,0.52186,0.20243,0.00276,0.0001288,0.0001288,0.0001288
46,245.828,0.46934,0.15812,0.00205,0.97151,0.98142,0.98409,0.87003,0.52201,0.2063,0.00272,0.000109,0.000109,0.000109
47,251.015,0.46571,0.15462,0.00208,0.97497,0.98095,0.98438,0.87079,0.5288,0.20495,0.00277,8.92e-05,8.92e-05,8.92e-05
48,256.125,0.46381,0.15949,0.00201,0.9715,0.98105,0.98427,0.85861,0.57587,0.20355,0.00303,6.94e-05,6.94e-05,6.94e-05
49,261.332,0.46737,0.15649,0.00206,0.97746,0.97842,0.98385,0.8721,0.5215,0.2085,0.00274,4.96e-05,4.96e-05,4.96e-05
50,266.301,0.46122,0.15556,0.002,0.97847,0.98101,0.98424,0.86465,0.55579,0.20214,0.00289,2.98e-05,2.98e-05,2.98e-05
