epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.83526,1.22845,2.40393,0.00512,0,0,0,0,0.97702,4.67635,0.0062,0.000329004,0.000329004,0.0674286
2,12.1848,0.9485,0.93882,0.00388,0.80004,0.81972,0.88739,0.69641,0.8723,1.0792,0.00526,0.000649223,0.000649223,0.0344155
3,15.3592,0.83355,0.70246,0.00336,0.80377,0.87918,0.92426,0.78058,0.69537,0.51968,0.00436,0.000956242,0.000956242,0.00138914
4,18.5024,0.803,0.58066,0.00321,0.85299,0.93406,0.96037,0.8007,0.7464,0.42683,0.005,0.0009406,0.0009406,0.0009406
5,21.6963,0.78427,0.55214,0.00322,0.87062,0.96098,0.97494,0.76723,0.94267,0.46417,0.00653,0.0009208,0.0009208,0.0009208
6,24.8967,0.7413,0.4953,0.00292,0.92137,0.91454,0.97567,0.83557,0.65858,0.4018,0.00401,0.000901,0.000901,0.000901
7,28.1138,0.74496,0.48893,0.00299,0.91164,0.92195,0.97524,0.81962,0.69955,0.42616,0.00462,0.0008812,0.0008812,0.0008812
8,31.3013,0.7292,0.44061,0.00299,0.92747,0.93562,0.98284,0.86533,0.58665,0.32917,0.00346,0.0008614,0.0008614,0.0008614
9,34.4791,0.68457,0.42165,0.00271,0.95209,0.87244,0.97359,0.8459,0.60834,0.49458,0.00357,0.0008416,0.0008416,0.0008416
10,37.7676,0.68423,0.45634,0.00271,0.93344,0.9122,0.97564,0.8413,0.62625,0.39041,0.00383,0.0008218,0.0008218,0.0008218
11,40.9663,0.68975,0.43267,0.00272,0.93518,0.95122,0.98623,0.81909,0.77954,0.34172,0.005,0.000802,0.000802,0.000802
12,44.1093,0.68219,0.39713,0.00272,0.8999,0.94634,0.97565,0.85852,0.60638,0.34527,0.00384,0.0007822,0.0007822,0.0007822
13,47.2941,0.68867,0.37732,0.00267,0.94632,0.94603,0.98739,0.87608,0.54062,0.29778,0.00325,0.0007624,0.0007624,0.0007624
14,50.502,0.69746,0.37506,0.00271,0.97236,0.94146,0.99054,0.87265,0.55543,0.26122,0.00344,0.0007426,0.0007426,0.0007426
15,53.6394,0.67933,0.36928,0.00266,0.96464,0.96098,0.99078,0.86698,0.59123,0.28653,0.00347,0.0007228,0.0007228,0.0007228
16,56.7787,0.65584,0.36523,0.00261,0.95541,0.98537,0.9921,0.88856,0.52427,0.22242,0.00323,0.000703,0.000703,0.000703
17,60.0609,0.66055,0.35489,0.00254,0.96644,0.95122,0.991,0.87528,0.57418,0.244,0.00354,0.0006832,0.0006832,0.0006832
