epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.44417,2.93295,4.8239,2.90525,0.00217,0.44444,0.00189,0.00041,2.94736,125.272,3.50824,3e-05,3e-05,0.09703
2,6.22993,2.31171,4.04015,2.4864,0.00367,1,0.02141,0.00673,2.65765,9.9198,3.01791,6.8614e-05,6.8614e-05,0.0930686
3,9.04002,2.20177,3.21922,2.31625,0.00336,1,0.08695,0.02367,2.13096,3.9033,2.481,0.000105644,0.000105644,0.0891056
4,11.7947,2.02835,2.81362,2.16075,0.00333,1,0.5283,0.1311,2.90965,3.21409,2.72818,0.00014109,0.00014109,0.0851411
5,14.575,1.82017,2.49866,1.94208,0.00333,1,0.57527,0.19538,2.50923,2.81495,2.54371,0.000174952,0.000174952,0.081175
6,17.2728,1.9856,2.33538,2.11905,0.00333,1,0.69048,0.26153,2.29576,2.54667,2.49169,0.00020723,0.00020723,0.0772072
7,20.0028,1.97091,2.29896,2.24607,0.00397,1,0.83426,0.36592,2.17863,2.37917,2.44713,0.000237924,0.000237924,0.0732379
8,22.7845,1.89123,1.9808,2.04465,0.0051,1,0.85658,0.4085,2.04514,2.26011,2.35209,0.000267034,0.000267034,0.069267
9,25.4682,1.78564,1.76307,1.88831,0.07232,1,0.84394,0.37271,2.00381,2.21723,2.30943,0.00029456,0.00029456,0.0652946
10,28.145,1.82933,1.74942,2.04637,0.78149,0.66667,0.8326,0.33507,1.94464,2.22497,2.25076,0.000320502,0.000320502,0.0613205
11,30.7846,1.85886,1.53537,2.06876,1,0.65955,0.86706,0.3976,1.90916,1.98031,2.23962,0.00034486,0.00034486,0.0573449
12,33.4202,1.79562,1.54179,1.99866,0.8564,0.77778,0.86546,0.39923,1.95609,1.8861,2.2791,0.000367634,0.000367634,0.0533676
13,36.0906,1.7587,1.49906,1.8955,1,0.73892,0.85667,0.42635,1.82229,1.98464,2.18214,0.000388824,0.000388824,0.0493888
14,38.7289,1.70523,1.53861,1.88613,0.97519,0.77778,0.87391,0.46101,1.66459,1.83747,2.08123,0.00040843,0.00040843,0.0454084
15,41.3735,1.7343,1.38351,1.82593,0.80929,0.94569,0.955,0.60426,1.40019,1.27163,1.93011,0.000426452,0.000426452,0.0414265
16,44.0229,1.61937,1.27396,1.74667,0.96418,0.77778,0.94893,0.61993,1.34648,1.21847,1.89764,0.00044289,0.00044289,0.0374429
17,46.6624,1.63393,1.40336,1.79032,1,0.84698,0.95571,0.61992,1.34141,1.20205,1.87964,0.000457744,0.000457744,0.0334577
18,49.276,1.62298,1.29421,1.79604,0.99111,1,0.995,0.68797,1.35083,1.19395,1.8497,0.000471014,0.000471014,0.029471
19,51.9203,1.56927,1.36286,1.69936,0.9927,1,0.995,0.6615,1.34194,1.17983,1.82992,0.0004827,0.0004827,0.0254827
20,54.6336,1.62209,1.36025,1.69851,1,0.9478,0.995,0.63669,1.3241,1.12584,1.77627,0.000492802,0.000492802,0.0214928
21,57.3162,1.57555,1.13802,1.67121,1,0.97184,0.995,0.62464,1.31741,1.17261,1.78086,0.00050132,0.00050132,0.0175013
22,59.9748,1.63497,1.16557,1.74313,0.97533,1,0.995,0.66194,1.29157,1.18372,1.78105,0.000508254,0.000508254,0.0135083
23,62.8219,1.53418,1.21785,1.66498,1,0.87941,0.975,0.63757,1.30278,1.10987,1.81151,0.000513604,0.000513604,0.0095136
24,65.5263,1.55656,1.21347,1.70992,0.99344,0.88889,0.984,0.63805,1.28763,1.01312,1.80117,0.00051737,0.00051737,0.00551737
25,68.1564,1.55993,1.17055,1.72494,1,0.95635,0.995,0.64151,1.27722,0.97454,1.79871,0.000519552,0.000519552,0.00151955
26,70.7965,1.52225,1.19636,1.66496,1,0.99641,0.995,0.6338,1.26114,1.0245,1.74658,0.000505,0.000505,0.000505
27,73.5059,1.60201,1.19346,1.73916,0.9859,1,0.995,0.63563,1.20637,1.05248,1.65387,0.0004852,0.0004852,0.0004852
28,76.2126,1.51373,1.04735,1.68364,0.98091,1,0.995,0.61249,1.22151,1.00478,1.61378,0.0004654,0.0004654,0.0004654
29,78.8905,1.53143,1.07443,1.68173,0.98385,1,0.995,0.66408,1.21298,0.98316,1.59883,0.0004456,0.0004456,0.0004456
30,81.5538,1.46426,1.08026,1.66633,0.99077,1,0.995,0.67483,1.2162,0.97912,1.58327,0.0004258,0.0004258,0.0004258
31,84.2029,1.42634,1.03123,1.58321,0.99057,1,0.995,0.66014,1.24294,0.97032,1.60006,0.000406,0.000406,0.000406
