epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4837,1.36979,5.26045,0.00583,0,0,0,0,0.98959,4.88866,0.00677,0.00032381,0.00032381,0.0679429
2,12.2054,1.09925,2.11429,0.00461,0.1369,0.25,0.22273,0.16815,0.76272,4.14996,0.00486,0.000644131,0.000644131,0.0349298
3,13.901,0.92418,1.59232,0.00372,0.16083,0.99,0.79079,0.64789,0.76444,2.21193,0.00474,0.000951253,0.000951253,0.00190363
4,15.5761,0.86258,1.35903,0.00354,0.78493,0.70295,0.85293,0.71796,0.63945,1.36263,0.00405,0.0009406,0.0009406,0.0009406
5,17.318,0.79578,1.13925,0.0031,0.73613,0.8386,0.88218,0.69883,0.86633,0.79669,0.00514,0.0009208,0.0009208,0.0009208
6,18.9745,0.74444,1.00238,0.00306,0.87237,0.73883,0.93145,0.80408,0.60932,0.69789,0.00354,0.000901,0.000901,0.000901
7,20.6103,0.73876,0.90291,0.00301,0.84434,0.88953,0.92864,0.81783,0.52689,0.50356,0.00325,0.0008812,0.0008812,0.0008812
8,22.2822,0.72234,0.79239,0.00287,0.80028,0.88955,0.91921,0.77799,0.70163,0.52446,0.00449,0.0008614,0.0008614,0.0008614
9,23.8771,0.73722,0.75181,0.00295,0.86329,0.95604,0.93178,0.82805,0.45338,0.43988,0.00274,0.0008416,0.0008416,0.0008416
10,25.5924,0.65413,0.67404,0.00269,0.85109,0.90149,0.94524,0.80903,0.62984,0.56415,0.00349,0.0008218,0.0008218,0.0008218
11,27.2817,0.69424,0.63184,0.00283,0.83369,0.89151,0.9427,0.8393,0.51496,0.47218,0.00312,0.000802,0.000802,0.000802
12,28.8893,0.65212,0.63869,0.00258,0.89108,0.90162,0.95704,0.8632,0.4661,0.37393,0.00285,0.0007822,0.0007822,0.0007822
13,30.5191,0.60591,0.55984,0.00235,0.92406,0.88461,0.95615,0.85409,0.51054,0.36594,0.00302,0.0007624,0.0007624,0.0007624
14,32.2527,0.61539,0.54802,0.00244,0.85526,0.95792,0.95593,0.86407,0.47313,0.33665,0.00283,0.0007426,0.0007426,0.0007426
15,33.8869,0.59447,0.54328,0.00227,0.90322,0.93364,0.96592,0.85919,0.53608,0.34177,0.00343,0.0007228,0.0007228,0.0007228
16,35.5027,0.62073,0.54302,0.00252,0.89873,0.9423,0.95841,0.85356,0.50064,0.31952,0.00311,0.000703,0.000703,0.000703
17,37.1436,0.62777,0.58312,0.00247,0.89105,0.9464,0.95999,0.86105,0.49632,0.31318,0.00306,0.0006832,0.0006832,0.0006832
18,38.8362,0.58896,0.52414,0.00229,0.9191,0.97721,0.9742,0.88805,0.43861,0.37241,0.00263,0.0006634,0.0006634,0.0006634
19,40.5758,0.57997,0.49066,0.00224,0.94178,0.9437,0.97627,0.87598,0.54771,0.28762,0.00318,0.0006436,0.0006436,0.0006436
20,42.2126,0.55957,0.49225,0.0022,0.88268,0.97999,0.97259,0.87987,0.48742,0.31889,0.00284,0.0006238,0.0006238,0.0006238
21,43.8265,0.55077,0.46804,0.00212,0.84027,0.9679,0.97144,0.89614,0.38814,0.41032,0.00231,0.000604,0.000604,0.000604
22,45.5084,0.58916,0.47304,0.00231,0.87364,0.92251,0.96791,0.86577,0.38965,0.39767,0.00234,0.0005842,0.0005842,0.0005842
23,47.1054,0.51743,0.43912,0.002,0.93111,0.94062,0.97546,0.86793,0.47667,0.3021,0.00282,0.0005644,0.0005644,0.0005644
24,48.8293,0.5425,0.44998,0.00208,0.89862,0.96388,0.96971,0.86232,0.50641,0.34274,0.00297,0.0005446,0.0005446,0.0005446
25,50.4839,0.54477,0.45358,0.00213,0.90725,0.94906,0.9733,0.87884,0.43508,0.29827,0.00261,0.0005248,0.0005248,0.0005248
26,52.096,0.5263,0.432,0.00197,0.9126,0.91024,0.97154,0.88493,0.45439,0.41759,0.00266,0.000505,0.000505,0.000505
27,53.7374,0.54407,0.46318,0.00212,0.94315,0.94498,0.97741,0.90101,0.40872,0.25176,0.00244,0.0004852,0.0004852,0.0004852
28,55.4633,0.53858,0.43967,0.00208,0.94481,0.91037,0.97865,0.90325,0.43329,0.30672,0.00256,0.0004654,0.0004654,0.0004654
29,57.0664,0.50937,0.38681,0.00204,0.96885,0.94475,0.985,0.90694,0.40873,0.28265,0.00243,0.0004456,0.0004456,0.0004456
30,58.7391,0.53324,0.40384,0.00203,0.94707,0.96638,0.98136,0.86999,0.4847,0.31735,0.00277,0.0004258,0.0004258,0.0004258
31,60.3937,0.53122,0.41431,0.00203,0.97966,0.97213,0.98347,0.89422,0.47608,0.23124,0.00278,0.000406,0.000406,0.000406
32,62.0293,0.52016,0.40682,0.00206,0.92915,0.97342,0.97401,0.88152,0.50737,0.28227,0.00294,0.0003862,0.0003862,0.0003862
33,63.7427,0.49663,0.34886,0.00191,0.97771,0.9335,0.97994,0.88259,0.50702,0.24589,0.00302,0.0003664,0.0003664,0.0003664
34,65.4022,0.53147,0.36039,0.00214,0.98063,0.95418,0.98955,0.86793,0.57759,0.25947,0.00347,0.0003466,0.0003466,0.0003466
35,67.0261,0.54378,0.44821,0.00221,0.97982,0.95994,0.98208,0.90987,0.43615,0.22226,0.00257,0.0003268,0.0003268,0.0003268
36,68.6983,0.52939,0.39279,0.00209,0.98579,0.96344,0.98123,0.89444,0.40196,0.23705,0.00245,0.000307,0.000307,0.000307
37,70.4337,0.48436,0.35508,0.00188,0.99201,0.97521,0.9846,0.89505,0.44508,0.20577,0.00262,0.0002872,0.0002872,0.0002872
38,72.0891,0.46733,0.35986,0.00185,0.97479,0.93807,0.98232,0.90302,0.4653,0.23809,0.00272,0.0002674,0.0002674,0.0002674
39,73.7227,0.50182,0.37385,0.00199,0.98156,0.95265,0.98364,0.89994,0.50501,0.23151,0.00286,0.0002476,0.0002476,0.0002476
40,75.3813,0.49702,0.37893,0.00195,0.99026,0.9762,0.98487,0.88857,0.47518,0.20636,0.00269,0.0002278,0.0002278,0.0002278
41,77.6252,0.43258,0.32668,0.00196,0.99301,0.96589,0.9846,0.90697,0.40332,0.21394,0.00242,0.000208,0.000208,0.000208
42,79.3452,0.43171,0.34292,0.00191,0.9948,0.9522,0.9817,0.91104,0.42907,0.22497,0.00253,0.0001882,0.0001882,0.0001882
43,80.9839,0.42455,0.33024,0.00187,0.99051,0.97,0.98194,0.88477,0.44385,0.23857,0.00276,0.0001684,0.0001684,0.0001684
44,82.6192,0.41004,0.33538,0.00177,0.97668,0.96228,0.97984,0.89776,0.40829,0.24173,0.0024,0.0001486,0.0001486,0.0001486
45,84.2032,0.41102,0.3293,0.00181,0.9715,0.9567,0.98207,0.90379,0.3639,0.1898,0.00212,0.0001288,0.0001288,0.0001288
46,85.8299,0.40718,0.32516,0.00183,0.97117,0.96891,0.98119,0.91734,0.3878,0.18895,0.00227,0.000109,0.000109,0.000109
47,87.5349,0.39099,0.31786,0.00173,0.98354,0.95264,0.97857,0.91474,0.38163,0.21583,0.00217,8.92e-05,8.92e-05,8.92e-05
48,89.1415,0.386,0.31075,0.00168,0.9544,0.95868,0.9808,0.90766,0.3615,0.20677,0.00211,6.94e-05,6.94e-05,6.94e-05
49,90.7466,0.3859,0.31794,0.00172,0.96891,0.96579,0.98133,0.92391,0.36803,0.20344,0.00208,4.96e-05,4.96e-05,4.96e-05
50,92.3511,0.37543,0.29676,0.00165,0.97415,0.98558,0.98042,0.91492,0.39079,0.20776,0.00221,2.98e-05,2.98e-05,2.98e-05
