epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2323,1.23833,3.61366,0.0051,0,0,0,0,0.97305,5.05,0.00628,0.000329114,0.000329114,0.0674177
2,16.9797,0.99399,1.52075,0.00398,0.86227,0.42197,0.72744,0.53779,1.06967,1.81064,0.0074,0.000649331,0.000649331,0.0344046
3,20.7203,0.92558,1.22107,0.00372,0.73952,0.73247,0.83762,0.67532,0.84922,0.86583,0.00497,0.000956348,0.000956348,0.00137829
4,24.2762,0.83579,1.0761,0.00329,0.8215,0.81516,0.91172,0.78427,0.66327,0.73552,0.00394,0.0009406,0.0009406,0.0009406
5,27.9313,0.80062,0.90466,0.00328,0.81796,0.79686,0.88104,0.73931,0.74639,0.69495,0.00465,0.0009208,0.0009208,0.0009208
6,31.5402,0.78368,0.865,0.00308,0.7746,0.81759,0.91445,0.75711,0.75039,0.66294,0.00497,0.000901,0.000901,0.000901
7,35.264,0.76539,0.85444,0.00309,0.82363,0.79014,0.89926,0.73819,0.78496,0.64178,0.00504,0.0008812,0.0008812,0.0008812
8,38.8264,0.75794,0.79073,0.00304,0.75109,0.83799,0.90088,0.77066,0.64701,0.64601,0.00402,0.0008614,0.0008614,0.0008614
9,42.4776,0.73751,0.75634,0.00301,0.80111,0.86595,0.92208,0.80064,0.60588,0.59698,0.00359,0.0008416,0.0008416,0.0008416
10,46.0489,0.72178,0.70139,0.00283,0.86447,0.82754,0.93426,0.77904,0.74324,0.55254,0.00469,0.0008218,0.0008218,0.0008218
11,49.7425,0.72361,0.68272,0.00284,0.86333,0.86899,0.9449,0.83584,0.53878,0.52103,0.00322,0.000802,0.000802,0.000802
12,53.3566,0.69974,0.64235,0.00279,0.93113,0.85028,0.95804,0.8253,0.63209,0.47779,0.00391,0.0007822,0.0007822,0.0007822
13,56.9729,0.70227,0.63554,0.00282,0.87091,0.87255,0.95054,0.8223,0.61963,0.49677,0.00388,0.0007624,0.0007624,0.0007624
14,60.5531,0.70514,0.63249,0.00281,0.83746,0.90171,0.94873,0.81641,0.62601,0.488,0.00388,0.0007426,0.0007426,0.0007426
15,64.2639,0.66419,0.59546,0.00266,0.85891,0.91001,0.95884,0.83705,0.59123,0.46289,0.00352,0.0007228,0.0007228,0.0007228
16,67.911,0.66158,0.59615,0.0026,0.88027,0.90396,0.95978,0.8435,0.54801,0.44941,0.00332,0.000703,0.000703,0.000703
17,71.4926,0.67577,0.56839,0.00271,0.91367,0.84724,0.95054,0.84647,0.5246,0.4753,0.00316,0.0006832,0.0006832,0.0006832
18,75.1103,0.64044,0.56837,0.00249,0.85359,0.90561,0.95688,0.84668,0.54764,0.44422,0.00336,0.0006634,0.0006634,0.0006634
19,78.8319,0.67004,0.58865,0.00262,0.87308,0.8519,0.93957,0.7948,0.6849,0.54531,0.00433,0.0006436,0.0006436,0.0006436
20,82.4762,0.66431,0.56076,0.00261,0.92689,0.88439,0.96351,0.80225,0.69087,0.46231,0.00425,0.0006238,0.0006238,0.0006238
21,86.0743,0.64348,0.55932,0.00252,0.92619,0.89329,0.96525,0.84426,0.57129,0.43065,0.00357,0.000604,0.000604,0.000604
22,89.642,0.62716,0.5308,0.00248,0.87351,0.88512,0.95335,0.85555,0.53673,0.42332,0.00316,0.0005842,0.0005842,0.0005842
23,93.3844,0.64131,0.5341,0.00256,0.97066,0.87254,0.97046,0.87171,0.49431,0.38641,0.00296,0.0005644,0.0005644,0.0005644
24,97.0135,0.64557,0.52551,0.00249,0.95683,0.87093,0.96656,0.86861,0.48822,0.4095,0.00287,0.0005446,0.0005446,0.0005446
